     atau     wage     TFP0     TFP1     DTFP       DM     DPhi       DF     Etau    Etau0    Etaul    Etauh     Expz        M       aY       aN       aL       aK       YN       aC     mTFP     nTFP    check     zphi
    0.000    0.171    0.328    0.328    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   74.800    4.638   26.287   67.004   71.642   78.282   39.231   19.259   35.932   38.109    0.000    0.018
    1.000   -0.166    0.328    0.328    0.089    1.885   -0.008   -1.789    0.151   -0.358   -1.000    0.682   -1.728    5.110   -0.001    0.166    0.486   -0.001   -0.166   -0.216   -0.072   -0.135    0.001    0.420
    2.000   -0.341    0.328    0.328    0.166    3.690   -0.032   -3.493    0.276   -0.728   -2.000    1.373   -3.352   10.242   -0.005    0.337    0.978   -0.005   -0.341   -0.442   -0.149   -0.277    0.005    0.384
    3.000   -0.538    0.328    0.328    0.229    5.586   -0.072   -5.286    0.378   -1.114   -3.000    2.084   -5.047   15.896   -0.011    0.530    1.525   -0.011   -0.538   -0.696   -0.235   -0.438    0.011    0.355
    4.000   -0.723    0.328    0.329    0.291    7.186   -0.127   -6.767    0.455   -1.507   -4.000    2.808   -6.427   20.881   -0.020    0.709    2.015   -0.020   -0.723   -0.933   -0.315   -0.589    0.020    0.320
    5.000   -0.936    0.328    0.329    0.336    9.176   -0.198   -8.643    0.498   -1.919   -5.000    3.525   -8.148   27.378   -0.007    0.937    2.649   -0.007   -0.936   -1.213   -0.408   -0.762    0.007    0.291
    6.000   -1.163    0.328    0.329    0.368   10.933   -0.284  -10.280    0.524   -2.335   -6.000    4.297   -9.628   33.390   -0.019    1.157    3.244   -0.019   -1.163   -1.503   -0.508   -0.947    0.019    0.255
    7.000   -1.368    0.328    0.329    0.412   12.598   -0.386  -11.800    0.524   -2.774   -7.000    5.079  -10.982   39.336   -0.006    1.381    3.838   -0.006   -1.368   -1.773   -0.598   -1.114    0.006    0.226
    8.000   -1.640    0.328    0.329    0.413   14.589   -0.502  -13.674    0.494   -3.224   -8.000    5.844  -12.624   46.788   -0.009    1.658    4.580   -0.009   -1.640   -2.124   -0.717   -1.336    0.009    0.191
    9.000   -1.916    0.328    0.329    0.405   16.212   -0.633  -15.174    0.452   -3.673   -9.000    6.429  -13.914   53.142   -0.047    1.906    5.223   -0.047   -1.916   -2.470   -0.839   -1.561    0.047    0.162
   10.000   -2.203    0.328    0.329    0.395   18.137   -0.778  -16.964    0.375   -4.157  -10.000    7.041  -15.434   61.016   -0.041    2.210    6.018   -0.041   -2.203   -2.842   -0.965   -1.795    0.041    0.133
   11.000   -2.496    0.328    0.329    0.370   19.879   -0.937  -18.572    0.273   -4.626  -11.000    7.612  -16.772   68.473   -0.052    2.507    6.777   -0.052   -2.496   -3.218   -1.095   -2.035    0.052    0.097
   12.000   -2.796    0.328    0.329    0.351   21.435   -1.109  -19.975    0.166   -5.125  -12.000    8.156  -17.918   75.405   -0.082    2.793    7.494   -0.082   -2.796   -3.596   -1.227   -2.281    0.082    0.068
   13.000   -3.119    0.328    0.329    0.298   23.277   -1.294  -21.686    0.003   -5.646  -13.000    8.673  -19.290   83.968   -0.080    3.138    8.371   -0.080   -3.119   -4.013   -1.370   -2.545    0.080    0.040
   14.000   -3.387    0.328    0.329    0.297   24.912   -1.493  -23.123   -0.169   -6.181  -14.000    9.108  -20.421   91.863   -0.036    3.468    9.191   -0.036   -3.387   -4.370   -1.489   -2.763    0.036    0.011
   15.000   -3.735    0.328    0.328    0.244   26.542   -1.702  -24.596   -0.351   -6.728  -15.000    9.566  -21.556  100.068   -0.061    3.817   10.049   -0.061   -3.735   -4.811   -1.644   -3.049    0.061   -0.018
   16.000   -4.080    0.328    0.328    0.171   28.457   -1.925  -26.361   -0.601   -7.287  -16.000    9.951  -22.903  110.132   -0.015    4.237   11.093   -0.015   -4.080   -5.266   -1.797   -3.331    0.015   -0.047
   17.000   -4.427    0.328    0.328    0.143   29.836   -2.157  -27.537   -0.796   -7.857  -17.000   10.367  -23.770  117.641   -0.051    4.579   11.899   -0.051   -4.427   -5.703   -1.952   -3.617    0.051   -0.076
   18.000   -4.802    0.328    0.328    0.056   31.584   -2.398  -29.130   -1.078   -8.439  -18.000   10.805  -24.934  127.539   -0.032    5.011   12.943   -0.032   -4.802   -6.188   -2.120   -3.924    0.032   -0.104
   19.000   -5.181    0.328    0.327   -0.028   33.178   -2.651  -30.555   -1.367   -9.031  -19.000   11.090  -25.943  136.923   -0.032    5.431   13.944   -0.032   -5.181   -6.674   -2.290   -4.236    0.032   -0.133
   20.000   -5.566    0.328    0.327   -0.093   34.438   -2.911  -31.621   -1.635   -9.633  -20.000   11.279  -26.664  144.579   -0.091    5.798   14.783   -0.091   -5.566   -7.149   -2.462   -4.551    0.091   -0.161
   18.787   -5.088    0.328    0.328   -0.003   32.827   -2.598  -30.232   -1.305   -8.897  -18.787   10.836  -25.715  134.820   -0.023    5.336   13.719   -0.023   -5.088   -6.557   -2.248   -4.159    0.023   -0.132
