     atau     wage     TFP0     TFP1     DTFP       DM     DPhi       DF     Etau    Etau0    Etaul    Etauh     Expz        M       aY       aN       aL       aK       YN       aC     mTFP     nTFP    check     zphi
    0.000    0.171    0.328    0.328    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   74.800    4.638   26.287   67.004   71.642   78.282   39.231   19.259   35.932   38.109    0.004   -0.552
    1.000    0.471    0.328    0.329    0.461    2.068   -0.008   -1.599    0.000   -0.453   -1.000    0.458   -1.542    5.609    0.651    0.179    0.530    0.651    0.471    0.417    0.205    0.383    0.000    0.613
    2.000    0.836    0.328    0.330    0.854    3.960   -0.033   -3.073    0.000   -0.902   -2.000    0.951   -2.948   10.992    1.193    0.355    1.043    1.193    0.836    0.729    0.363    0.679    0.000    0.563
    3.000    1.071    0.328    0.331    1.172    5.938   -0.074   -4.692    0.001   -1.345   -3.000    1.492   -4.468   16.893    1.626    0.549    1.607    1.626    1.071    0.905    0.465    0.871    0.000    0.513
    4.000    1.230    0.328    0.332    1.445    7.760   -0.132   -6.183    0.000   -1.797   -4.000    2.079   -5.851   22.586    1.982    0.743    2.157    1.982    1.230    1.005    0.534    0.999    0.000    0.469
    5.000    1.227    0.328    0.333    1.617    9.647   -0.206   -7.825    0.002   -2.235   -5.000    2.703   -7.352   28.768    2.195    0.956    2.756    2.195    1.227    0.939    0.532    0.997    0.000    0.419
    6.000    1.140    0.328    0.333    1.736   11.370   -0.295   -9.338    0.001   -2.667   -6.000    3.389   -8.720   34.672    2.319    1.166    3.336    2.319    1.140    0.788    0.495    0.926    0.000    0.370
    7.000    0.863    0.328    0.333    1.740   13.344   -0.400  -11.204    0.002   -3.094   -7.000    4.160  -10.383   41.780    2.296    1.420    4.033    2.296    0.863    0.437    0.375    0.702    0.000    0.319
    8.000    0.492    0.328    0.333    1.688   15.130   -0.519  -12.922    0.006   -3.522   -8.000    4.980  -11.893   48.533    2.173    1.672    4.706    2.173    0.492   -0.006    0.214    0.400    0.001    0.269
    9.000    0.035    0.328    0.333    1.580   16.855   -0.652  -14.623    0.001   -3.961   -9.000    5.902  -13.365   55.368    1.970    1.934    5.394    1.970    0.035   -0.538    0.015    0.029    0.000    0.226
   10.000   -0.611    0.328    0.332    1.355   18.544   -0.797  -16.392    0.011   -4.372  -10.000    6.638  -14.884   62.390    1.590    2.215    6.111    1.590   -0.611   -1.262   -0.266   -0.497    0.003    0.176
   11.000   -1.325    0.328    0.331    1.088   20.331   -0.953  -18.289    0.005   -4.813  -11.000    7.307  -16.481   70.171    1.171    2.530    6.909    1.171   -1.325   -2.062   -0.579   -1.079    0.001    0.132
   12.000   -2.116    0.328    0.330    0.765   21.737   -1.121  -19.852    0.003   -5.222  -12.000    7.954  -17.781   76.599    0.635    2.810    7.588    0.635   -2.116   -2.927   -0.927   -1.725    0.001    0.083
   13.000   -3.119    0.328    0.329    0.298   23.277   -1.294  -21.686    0.003   -5.646  -13.000    8.673  -19.290   83.968   -0.080    3.138    8.371   -0.080   -3.119   -4.013   -1.370   -2.545    0.001    0.040
   14.000   -4.266    0.328    0.327   -0.265   24.738   -1.473  -23.530    0.007   -6.039  -14.000    9.278  -20.790   91.303   -0.933    3.481    9.167   -0.933   -4.266   -5.243   -1.880   -3.484    0.002   -0.010
   15.000   -5.571    0.328    0.324   -0.935   26.100   -1.655  -25.380    0.024   -6.449  -15.000   10.016  -22.280   98.497   -1.946    3.839    9.967   -1.946   -5.571   -6.633   -2.465   -4.556    0.006   -0.054
   16.000   -6.476    0.328    0.323   -1.304   27.195   -1.851  -26.649    0.002   -6.927  -16.000   10.707  -23.273  104.378   -2.594    4.151   10.639   -2.594   -6.476   -7.610   -2.873   -5.300    0.001   -0.090
   17.000   -8.187    0.328    0.320   -2.288   28.537   -2.029  -28.796    0.010   -7.276  -17.000   11.409  -24.973  112.167   -3.988    4.574   11.540   -3.988   -8.187   -9.411   -3.650   -6.712    0.002   -0.140
   18.000   -9.692    0.328    0.317   -3.109   29.607   -2.213  -30.503    0.010   -7.678  -18.000   12.003  -26.292  118.633   -5.214    4.959   12.319   -5.214   -9.692  -10.994   -4.341   -7.958    0.003   -0.183
   19.000  -11.117    0.328    0.315   -3.873   30.445   -2.401  -31.916    0.003   -8.088  -19.000   12.710  -27.365  123.923   -6.397    5.311   12.990   -6.397  -11.117  -12.486   -5.001   -9.141    0.001   -0.225
   20.000  -12.707    0.328    0.312   -4.758   31.201   -2.581  -33.378    0.010   -8.529  -20.000   13.341  -28.475  128.970   -7.751    5.678   13.660   -7.751  -12.707  -14.142   -5.745  -10.466    0.002   -0.262
   13.585   -3.575    0.328    0.328    0.134   24.009   -1.402  -22.474    0.001   -5.924  -13.585    8.998  -19.927   87.546   -0.385    3.308    8.762   -0.385   -3.575   -4.512   -1.572   -2.918    0.000    0.018
