     atau     wage     TFP0     TFP1     DTFP       DM     DPhi       DF     Etau    Etau0    Etaul    Etauh     Expz        M       aY       aN       aL       aK       YN       aC     mTFP     nTFP    check     zphi
    0.000    0.171    0.334    0.334    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   74.800    4.893   27.728   70.678   75.571   82.575   39.231   20.316   35.932   38.109    0.006    0.111
    1.000    0.471    0.334    0.336    0.452    2.059   -0.008   -1.599    0.000   -0.453   -1.000    0.458   -1.542    5.584    0.627    0.155    0.506    0.627    0.471    0.394    0.205    0.383    0.000    0.613
    2.000    0.836    0.334    0.337    0.836    3.942   -0.033   -3.072    0.000   -0.902   -2.000    0.951   -2.948   10.939    1.146    0.307    0.996    1.146    0.836    0.681    0.363    0.679    0.000    0.563
    3.000    1.071    0.334    0.338    1.144    5.910   -0.074   -4.692    0.001   -1.345   -3.000    1.492   -4.468   16.808    1.552    0.476    1.533    1.552    1.071    0.832    0.465    0.871    0.000    0.513
    4.000    1.230    0.334    0.339    1.407    7.721   -0.132   -6.182    0.000   -1.797   -4.000    2.079   -5.851   22.465    1.882    0.644    2.057    1.882    1.230    0.906    0.534    0.999    0.000    0.469
    5.000    1.227    0.334    0.339    1.568    9.597   -0.206   -7.823    0.002   -2.235   -5.000    2.703   -7.352   28.605    2.065    0.828    2.626    2.065    1.227    0.811    0.532    0.997    0.000    0.419
    6.000    1.140    0.334    0.340    1.677   11.307   -0.295   -9.335    0.001   -2.667   -6.000    3.389   -8.720   34.464    2.161    1.010    3.176    2.161    1.140    0.633    0.495    0.926    0.000    0.370
    7.000    0.863    0.334    0.340    1.668   13.267   -0.400  -11.199    0.002   -3.094   -7.000    4.160  -10.383   41.513    2.104    1.230    3.838    2.104    0.863    0.249    0.375    0.702    0.000    0.319
    8.000    0.492    0.334    0.340    1.603   15.039   -0.519  -12.917    0.006   -3.522   -8.000    4.980  -11.893   48.205    1.947    1.447    4.475    1.947    0.492   -0.227    0.214    0.400    0.002    0.269
    9.000    0.035    0.334    0.339    1.482   16.749   -0.652  -14.616    0.001   -3.961   -9.000    5.902  -13.365   54.972    1.710    1.674    5.125    1.710    0.035   -0.792    0.015    0.029    0.000    0.226
   10.000   -0.611    0.334    0.338    1.243   18.422   -0.797  -16.382    0.011   -4.372  -10.000    6.638  -14.884   61.917    1.294    1.917    5.801    1.294   -0.611   -1.550   -0.266   -0.497    0.003    0.176
   11.000   -1.325    0.334    0.337    0.961   20.190   -0.953  -18.277    0.005   -4.813  -11.000    7.307  -16.481   69.605    0.835    2.189    6.553    0.835   -1.325   -2.387   -0.579   -1.079    0.001    0.132
   12.000   -2.116    0.334    0.336    0.624   21.580   -1.120  -19.837    0.003   -5.222  -12.000    7.954  -17.781   75.948    0.263    2.431    7.191    0.263   -2.116   -3.285   -0.927   -1.725    0.001    0.083
   13.000   -3.119    0.334    0.335    0.142   23.101   -1.293  -21.667    0.003   -5.646  -13.000    8.673  -19.290   83.212   -0.490    2.714    7.925   -0.490   -3.119   -4.408   -1.370   -2.545    0.001    0.040
   14.000   -4.266    0.334    0.333   -0.437   24.542   -1.471  -23.507    0.007   -6.039  -14.000    9.278  -20.790   90.433   -1.384    3.010    8.670   -1.384   -4.266   -5.675   -1.880   -3.484    0.002   -0.010
   15.000   -5.571    0.334    0.330   -1.123   25.883   -1.653  -25.353    0.024   -6.449  -15.000   10.016  -22.280   97.503   -2.438    3.319    9.416   -2.438   -5.571   -7.100   -2.465   -4.556    0.006   -0.054
   16.000   -6.476    0.334    0.329   -1.506   26.960   -1.849  -26.618    0.002   -6.927  -16.000   10.707  -23.273  103.272   -3.121    3.587   10.041   -3.121   -6.476   -8.110   -2.873   -5.300    0.001   -0.090
   17.000   -8.187    0.334    0.326   -2.508   28.277   -2.026  -28.759    0.010   -7.276  -17.000   11.409  -24.973  110.906   -4.559    3.952   10.877   -4.559   -8.187   -9.950   -3.650   -6.712    0.003   -0.140
   18.000   -9.692    0.334    0.323   -3.345   29.325   -2.210  -30.460    0.010   -7.678  -18.000   12.003  -26.292  117.226   -5.823    4.284   11.596   -5.823   -9.692  -11.567   -4.341   -7.958    0.003   -0.183
   19.000  -11.117    0.334    0.320   -4.123   30.143   -2.398  -31.868    0.003   -8.088  -19.000   12.710  -27.365  122.383   -7.040    4.587   12.213   -7.040  -11.117  -13.088   -5.001   -9.141    0.001   -0.225
   20.000  -12.707    0.334    0.317   -5.023   30.879   -2.577  -33.325    0.010   -8.529  -20.000   13.341  -28.475  127.291   -8.427    4.903   12.826   -8.427  -12.707  -14.772   -5.745  -10.466    0.002   -0.262
   13.272   -3.413    0.334    0.334    0.006   23.340   -1.341  -21.993    0.020   -5.747  -13.272    8.797  -19.560   84.407   -0.737    2.770    8.056   -0.737   -3.413   -4.724   -1.501   -2.785    0.006    0.025

Frist elasticity = 2.0
