     atau     wage     TFP0     TFP1     DTFP       DM     DPhi       DF     Etau    Etau0    Etaul    Etauh     Expz        M       aY       aN       aL       aK       YN       aC     mTFP     nTFP    check     zphi
    0.000    0.171    0.345    0.345    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   74.800    5.336   30.241   77.084   82.420   90.059   39.231   22.157   35.932   38.109    0.003    0.075
    1.000    0.471    0.345    0.347    0.437    2.044   -0.008   -1.598    0.000   -0.453   -1.000    0.458   -1.542    5.543    0.588    0.116    0.467    0.588    0.471    0.355    0.205    0.383    0.000    0.613
    2.000    0.836    0.345    0.348    0.807    3.912   -0.033   -3.072    0.000   -0.902   -2.000    0.951   -2.948   10.854    1.068    0.230    0.918    1.068    0.836    0.604    0.363    0.679    0.000    0.563
    3.000    1.071    0.345    0.349    1.099    5.863   -0.074   -4.690    0.001   -1.345   -3.000    1.492   -4.468   16.670    1.432    0.357    1.413    1.432    1.071    0.712    0.465    0.871    0.000    0.513
    4.000    1.230    0.345    0.350    1.346    7.657   -0.132   -6.180    0.000   -1.797   -4.000    2.079   -5.851   22.268    1.718    0.482    1.893    1.718    1.230    0.744    0.534    0.999    0.000    0.469
    5.000    1.227    0.345    0.351    1.489    9.514   -0.206   -7.820    0.002   -2.235   -5.000    2.703   -7.352   28.340    1.855    0.620    2.415    1.855    1.227    0.603    0.532    0.997    0.001    0.419
    6.000    1.140    0.345    0.351    1.580   11.206   -0.295   -9.331    0.001   -2.667   -6.000    3.389   -8.720   34.127    1.905    0.757    2.917    1.905    1.140    0.380    0.495    0.926    0.000    0.370
    7.000    0.863    0.345    0.351    1.550   13.142   -0.400  -11.192    0.002   -3.094   -7.000    4.160  -10.383   41.081    1.792    0.921    3.521    1.792    0.863   -0.057    0.375    0.702    0.000    0.319
    8.000    0.492    0.345    0.350    1.465   14.891   -0.519  -12.907    0.006   -3.522   -8.000    4.980  -11.893   47.673    1.581    1.084    4.100    1.581    0.492   -0.585    0.214    0.400    0.002    0.269
    9.000    0.035    0.345    0.350    1.323   16.577   -0.651  -14.603    0.001   -3.961   -9.000    5.902  -13.365   54.330    1.289    1.253    4.689    1.289    0.035   -1.203    0.015    0.029    0.000    0.226
   10.000   -0.611    0.345    0.349    1.061   18.223   -0.796  -16.366    0.011   -4.372  -10.000    6.638  -14.884   61.150    0.814    1.434    5.300    0.814   -0.611   -2.016   -0.266   -0.497    0.003    0.176
   11.000   -1.325    0.345    0.348    0.755   19.962   -0.952  -18.256    0.005   -4.813  -11.000    7.307  -16.481   68.689    0.291    1.637    5.978    0.291   -1.325   -2.914   -0.579   -1.079    0.002    0.132
   12.000   -2.116    0.345    0.347    0.396   21.326   -1.118  -19.812    0.003   -5.222  -12.000    7.954  -17.781   74.894   -0.337    1.818    6.549   -0.337   -2.116   -3.864   -0.927   -1.725    0.001    0.083
   13.000   -3.119    0.345    0.345   -0.112   22.816   -1.291  -21.636    0.003   -5.646  -13.000    8.673  -19.290   81.990   -1.154    2.028    7.205   -1.154   -3.119   -5.046   -1.370   -2.545    0.001    0.040
   14.000   -4.266    0.345    0.343   -0.716   24.224   -1.469  -23.471    0.007   -6.039  -14.000    9.278  -20.790   89.026   -2.113    2.249    7.867   -2.113   -4.266   -6.371   -1.880   -3.484    0.002   -0.010
   15.000   -5.571    0.345    0.340   -1.428   25.532   -1.650  -25.309    0.024   -6.449  -15.000   10.016  -22.280   95.897   -3.231    2.479    8.527   -3.231   -5.571   -7.856   -2.465   -4.556    0.007   -0.054
   16.000   -6.476    0.345    0.339   -1.834   26.579   -1.845  -26.567    0.002   -6.927  -16.000   10.707  -23.273  101.489   -3.971    2.679    9.076   -3.971   -6.476   -8.916   -2.873   -5.300    0.001   -0.090
   17.000   -8.187    0.345    0.335   -2.865   27.857   -2.022  -28.700    0.010   -7.276  -17.000   11.409  -24.973  108.872   -5.479    2.950    9.807   -5.479   -8.187  -10.818   -3.650   -6.712    0.003   -0.140
   18.000   -9.692    0.345    0.333   -3.728   28.869   -2.205  -30.391    0.010   -7.678  -18.000   12.003  -26.292  114.960   -6.806    3.196   10.432   -6.806   -9.692  -12.489   -4.341   -7.958    0.003   -0.183
   19.000  -11.117    0.345    0.330   -4.529   29.654   -2.392  -31.791    0.003   -8.088  -19.000   12.710  -27.365  119.904   -8.077    3.421   10.962   -8.077  -11.117  -14.057   -5.001   -9.141    0.001   -0.225
   20.000  -12.707    0.345    0.327   -5.451   30.356   -2.570  -33.238    0.010   -8.529  -20.000   13.341  -28.475  124.587   -9.517    3.655   11.484   -9.517  -12.707  -15.785   -5.745  -10.466    0.003   -0.262
   12.770   -2.871    0.345    0.345    0.023   22.454   -1.251  -21.180    0.009   -5.540  -12.770    8.480  -18.918   80.233   -0.951    1.977    7.044   -0.951   -2.871   -4.754   -1.260   -2.342    0.003    0.047
