     atau     wage     TFP0     TFP1     DTFP       DM     DPhi       DF     Etau    Etau0    Etaul    Etauh     Expz        M       aY       aN       aL       aK       YN       aC     mTFP     nTFP    check     zphi
    0.000    0.235    0.412    0.412    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   81.433    4.350   35.570   69.177   73.526  111.225   51.419   26.252   39.734   46.851    0.003    0.118
    1.000    0.385    0.412    0.414    0.366    1.858   -0.009   -1.483    0.001   -0.434   -1.000    0.325   -1.407    5.490    0.515    0.130    0.447    0.515    0.385    0.346    0.176    0.310    0.000    0.943
    2.000    0.672    0.412    0.415    0.671    3.598   -0.038   -2.889    0.001   -0.866   -2.000    0.673   -2.715   10.887    0.932    0.258    0.887    0.932    0.672    0.594    0.307    0.540    0.000    0.892
    3.000    0.840    0.412    0.416    0.906    5.394   -0.085   -4.403    0.000   -1.287   -3.000    1.049   -4.128   16.731    1.244    0.400    1.366    1.244    0.840    0.720    0.383    0.675    0.000    0.836
    4.000    0.901    0.412    0.417    1.079    7.201   -0.151   -5.972    0.001   -1.715   -4.000    1.461   -5.568   22.913    1.457    0.551    1.874    1.457    0.901    0.735    0.411    0.724    0.000    0.785
    5.000    0.818    0.412    0.417    1.160    9.016   -0.235   -7.620    0.002   -2.127   -5.000    1.914   -7.067   29.442    1.536    0.712    2.412    1.536    0.818    0.604    0.373    0.657    0.001    0.728
    6.000    0.687    0.412    0.417    1.219   10.527   -0.337   -8.971    0.003   -2.554   -6.000    2.391   -8.289   35.139    1.554    0.862    2.890    1.554    0.687    0.428    0.313    0.552    0.001    0.678
    7.000    0.353    0.412    0.417    1.150   12.257   -0.457  -10.650    0.010   -2.959   -7.000    2.933   -9.788   41.979    1.395    1.038    3.460    1.395    0.353    0.043    0.161    0.284    0.004    0.620
    8.000   -0.054    0.412    0.417    1.035   14.099   -0.594  -12.470    0.004   -3.366   -8.000    3.498  -11.402   49.649    1.185    1.239    4.103    1.185   -0.054   -0.422   -0.025   -0.043    0.001    0.563
    9.000   -0.538    0.412    0.416    0.876   15.674   -0.746  -14.051    0.000   -3.785   -9.000    4.119  -12.792   56.542    0.884    1.430    4.690    0.884   -0.538   -0.961   -0.246   -0.433    0.000    0.513
   10.000   -1.164    0.412    0.415    0.637   17.221   -0.913  -15.672    0.009   -4.211  -10.000    4.823  -14.196   63.652    0.450    1.632    5.301    0.450   -1.164   -1.643   -0.534   -0.937    0.003    0.462
   11.000   -1.895    0.412    0.414    0.319   18.785   -1.094  -17.373    0.003   -4.611  -11.000    5.591  -15.652   71.191   -0.080    1.850    5.952   -0.080   -1.895   -2.433   -0.871   -1.527    0.001    0.406
   12.000   -2.791    0.412    0.412   -0.101   20.405   -1.285  -19.221    0.006   -5.027  -12.000    6.460  -17.222   79.405   -0.756    2.094    6.667   -0.756   -2.791   -3.393   -1.286   -2.250    0.002    0.355
   13.000   -3.739    0.412    0.410   -0.549   22.019   -1.487  -21.081    0.001   -5.454  -13.000    7.255  -18.778   87.999   -1.471    2.357    7.423   -1.471   -3.739   -4.410   -1.727   -3.018    0.000    0.305
   14.000   -4.899    0.412    0.408   -1.148   23.484   -1.694  -22.939    0.006   -5.833  -14.000    7.857  -20.319   96.270   -2.404    2.623    8.163   -2.404   -4.899   -5.634   -2.270   -3.958    0.002    0.248
   15.000   -6.103    0.412    0.405   -1.768   24.949   -1.906  -24.810    0.008   -6.253  -15.000    8.387  -21.845  104.923   -3.369    2.912    8.947   -3.369   -6.103   -6.908   -2.837   -4.937    0.003    0.197
   16.000   -7.402    0.412    0.402   -2.444   26.348   -2.121  -26.672    0.017   -6.672  -16.000    9.061  -23.341  113.606   -4.424    3.216    9.747   -4.424   -7.402   -8.277   -3.454   -5.996    0.006    0.147
   17.000   -8.772    0.412    0.399   -3.175   27.593   -2.335  -28.433    0.022   -7.088  -17.000    9.729  -24.732  121.739   -5.561    3.520   10.513   -5.561   -8.772   -9.713   -4.110   -7.116    0.008    0.097
   18.000  -10.113    0.412    0.396   -3.897   28.760   -2.556  -30.101    0.000   -7.502  -18.000   10.267  -26.038  129.689   -6.670    3.830   11.276   -6.670  -10.113  -11.121   -4.757   -8.216    0.000    0.047
   19.000  -11.725    0.412    0.392   -4.808   29.986   -2.759  -32.035    0.001   -7.907  -19.000   10.931  -27.532  138.482   -8.030    4.186   12.131   -8.030  -11.725  -12.804   -5.541   -9.542    0.000   -0.003
   20.000  -13.569    0.412    0.388   -5.901   31.258   -2.948  -34.211    0.003   -8.303  -20.000   11.539  -29.193  148.111   -9.601    4.590   13.081   -9.601  -13.569  -14.725   -6.449  -11.064    0.001   -0.054
   11.750   -2.563    0.412    0.412    0.014   19.995   -1.236  -18.745    0.014   -4.931  -11.750    6.213  -16.823   77.286   -0.584    2.032    6.484   -0.584   -2.563   -3.150   -1.180   -2.066    0.005    0.369
