     atau     wage     TFP0     TFP1     DTFP       DM     DPhi       DF     Etau    Etau0    Etaul    Etauh     Expz        M       aY       aN       aL       aK       YN       aC     mTFP     nTFP    check     zphi
    0.000    0.171    0.328    0.328    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   74.800    4.638   26.287   67.004   71.642   78.282   39.231   19.259   35.932   38.109    0.000    0.000
    1.000    0.471    0.328    0.329    0.393    2.000   -0.008   -1.598    0.000   -0.453   -1.000    0.458   -1.542    5.421    0.471   -0.000    0.351    0.471    0.471    0.239    0.205    0.383    0.000    0.613
    2.000    0.836    0.328    0.330    0.720    3.823   -0.033   -3.071    0.000   -0.902   -2.000    0.951   -2.948   10.599    0.836   -0.000    0.686    0.836    0.836    0.372    0.363    0.679    0.000    0.563
    3.000    1.071    0.328    0.331    0.963    5.724   -0.074   -4.687    0.001   -1.345   -3.000    1.492   -4.468   16.255    1.071   -0.000    1.052    1.071    1.071    0.354    0.465    0.871    0.000    0.513
    4.000    1.230    0.328    0.331    1.161    7.467   -0.132   -6.174    0.000   -1.797   -4.000    2.079   -5.851   21.681    1.230   -0.000    1.404    1.230    1.230    0.260    0.534    0.999    0.000    0.469
    5.000    1.227    0.328    0.332    1.252    9.267   -0.205   -7.810    0.002   -2.235   -5.000    2.703   -7.352   27.549    1.227    0.000    1.784    1.227    1.227   -0.017    0.532    0.997    0.000    0.419
    6.000    1.140    0.328    0.332    1.291   10.903   -0.295   -9.317    0.001   -2.667   -6.000    3.389   -8.720   33.120    1.140   -0.000    2.144    1.140    1.140   -0.374    0.495    0.926    0.000    0.370
    7.000    0.863    0.328    0.331    1.199   12.770   -0.399  -11.172    0.002   -3.094   -7.000    4.160  -10.383   39.794    0.863   -0.000    2.576    0.863    0.863   -0.969    0.375    0.702    0.000    0.319
    8.000    0.492    0.328    0.331    1.053   14.449   -0.517  -12.879    0.006   -3.522   -8.000    4.980  -11.893   46.090    0.492   -0.000    2.984    0.492    0.492   -1.651    0.214    0.400    0.001    0.269
    9.000    0.035    0.328    0.330    0.847   16.063   -0.650  -14.566    0.001   -3.961   -9.000    5.902  -13.365   52.420    0.035   -0.000    3.394    0.035    0.035   -2.425    0.015    0.029    0.000    0.226
   10.000   -0.611    0.328    0.329    0.519   17.631   -0.794  -16.318    0.011   -4.372  -10.000    6.638  -14.884   58.872   -0.611   -0.000    3.811   -0.611   -0.611   -3.401   -0.266   -0.497    0.003    0.176
   11.000   -1.325    0.328    0.328    0.138   19.281   -0.949  -18.195    0.005   -4.813  -11.000    7.307  -16.481   65.972   -1.325   -0.000    4.271   -1.325   -1.325   -4.478   -0.579   -1.079    0.001    0.132
   12.000   -2.116    0.328    0.327   -0.286   20.566   -1.114  -19.738    0.003   -5.222  -12.000    7.954  -17.781   71.772   -2.116   -0.000    4.647   -2.116   -2.116   -5.580   -0.927   -1.725    0.001    0.083
   13.000   -3.119    0.328    0.325   -0.867   21.964   -1.286  -21.545    0.003   -5.646  -13.000    8.673  -19.290   78.371   -3.119   -0.000    5.074   -3.119   -3.119   -6.933   -1.370   -2.545    0.001    0.040
   14.000   -4.266    0.328    0.322   -1.547   23.276   -1.462  -23.361    0.007   -6.039  -14.000    9.278  -20.790   84.868   -4.266   -0.000    5.495   -4.266   -4.266   -8.431   -1.880   -3.484    0.002   -0.010
   15.000   -5.571    0.328    0.320   -2.336   24.484   -1.641  -25.178    0.024   -6.449  -15.000   10.016  -22.280   91.159   -5.571   -0.000    5.902   -5.571   -5.571  -10.084   -2.465   -4.556    0.006   -0.054
   16.000   -6.476    0.328    0.318   -2.810   25.443   -1.835  -26.418    0.002   -6.927  -16.000   10.707  -23.273   96.233   -6.476   -0.000    6.230   -6.476   -6.476  -11.292   -2.873   -5.300    0.001   -0.090
   17.000   -8.187    0.328    0.315   -3.927   26.604   -2.009  -28.521    0.010   -7.276  -17.000   11.409  -24.973  102.887   -8.187    0.000    6.661   -8.187   -8.187  -13.373   -3.650   -6.712    0.002   -0.140
   18.000   -9.692    0.328    0.312   -4.866   27.510   -2.190  -30.186    0.010   -7.678  -18.000   12.003  -26.292  108.302   -9.692   -0.000    7.012   -9.692   -9.692  -15.200   -4.341   -7.958    0.002   -0.183
   19.000  -11.117    0.328    0.309   -5.735   28.199   -2.374  -31.560    0.003   -8.088  -19.000   12.710  -27.365  112.630  -11.117   -0.000    7.292  -11.117  -11.117  -16.899   -5.001   -9.141    0.001   -0.225
   20.000  -12.707    0.328    0.306   -6.726   28.804   -2.550  -32.980    0.010   -8.529  -20.000   13.341  -28.475  116.667  -12.707    0.000    7.553  -12.707  -12.707  -18.755   -5.745  -10.466    0.002   -0.262
   11.324   -1.559    0.328    0.328    0.019   19.665   -1.001  -18.645    0.007   -4.954  -11.324    7.545  -16.856   67.680   -1.559   -0.000    4.382   -1.559   -1.559   -4.804   -0.682   -1.270    0.002    0.118
