     atau     wage     TFP0     TFP1     DTFP       DM     DPhi       DF     Etau    Etau0    Etaul    Etauh     Expz        M       aY       aN       aL       aK       YN       aC     mTFP     nTFP    check     zphi
    0.000    0.165    0.319    0.319    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   73.820    4.441   25.413   66.891   71.332   75.679   37.991   18.660   35.433   37.126    0.005    0.403
    1.000    0.484    0.319    0.320    0.465    1.863   -0.008   -1.390    0.001   -0.468   -1.000    0.457   -1.338    5.040    0.645    0.161    0.464    0.645    0.484    0.435    0.210    0.393    0.000    0.609
    2.000    0.849    0.319    0.322    0.866    3.979   -0.033   -3.080    0.001   -0.930   -2.000    0.947   -2.954   11.045    1.206    0.354    1.019    1.206    0.849    0.742    0.369    0.690    0.000    0.559
    3.000    1.103    0.319    0.323    1.191    5.751   -0.074   -4.485    0.003   -1.388   -3.000    1.478   -4.269   16.317    1.637    0.528    1.511    1.637    1.103    0.943    0.479    0.896    0.001    0.509
    4.000    1.223    0.319    0.323    1.442    7.771   -0.132   -6.197    0.005   -1.842   -4.000    2.062   -5.862   22.620    1.970    0.738    2.101    1.970    1.223    0.999    0.530    0.993    0.001    0.459
    5.000    1.258    0.319    0.324    1.638    9.470   -0.206   -7.626    0.008   -2.298   -5.000    2.690   -7.165   28.171    2.200    0.930    2.626    2.200    1.258    0.977    0.546    1.022    0.002    0.412
    6.000    1.183    0.319    0.325    1.771   11.432   -0.295   -9.365    0.001   -2.754   -6.000    3.366   -8.740   34.883    2.360    1.164    3.263    2.360    1.183    0.832    0.513    0.961    0.000    0.366
    7.000    0.915    0.319    0.325    1.782   13.275   -0.400  -11.093    0.009   -3.196   -7.000    4.147  -10.275   41.518    2.328    1.401    3.898    2.328    0.915    0.494    0.397    0.743    0.002    0.315
    8.000    0.610    0.319    0.325    1.770   15.030   -0.520  -12.740    0.001   -3.645   -8.000    4.962  -11.722   48.126    2.265    1.645    4.539    2.265    0.610    0.119    0.265    0.496    0.000    0.269
    9.000    0.116    0.319    0.324    1.642   16.802   -0.652  -14.507    0.005   -4.078   -9.000    5.851  -13.259   55.134    2.029    1.911    5.225    2.029    0.116   -0.451    0.050    0.094    0.001    0.219
   10.000   -0.532    0.319    0.323    1.417   18.659   -0.797  -16.445    0.009   -4.521  -10.000    6.623  -14.917   62.855    1.667    2.211    5.987    1.667   -0.532   -1.183   -0.232   -0.433    0.002    0.172
   11.000   -1.229    0.319    0.323    1.157   20.219   -0.954  -18.108    0.009   -4.959  -11.000    7.293  -16.315   69.651    1.230    2.490    6.672    1.230   -1.229   -1.956   -0.537   -1.001    0.002    0.125
   12.000   -1.952    0.319    0.322    0.890   21.678   -1.122  -19.666    0.004   -5.415  -12.000    7.934  -17.607   76.276    0.768    2.774    7.350    0.768   -1.952   -2.753   -0.854   -1.591    0.001    0.082
   13.000   -2.932    0.319    0.320    0.446   23.210   -1.296  -21.468    0.008   -5.848  -13.000    8.604  -19.093   83.576    0.074    3.096    8.107    0.074   -2.932   -3.815   -1.287   -2.391    0.002    0.036
   14.000   -3.955    0.319    0.319   -0.031   24.612   -1.478  -23.165    0.001   -6.271  -14.000    9.275  -20.473   90.564   -0.670    3.420    8.845   -0.670   -3.955   -4.919   -1.741   -3.229    0.000   -0.011
   15.000   -5.157    0.319    0.317   -0.608   25.930   -1.663  -24.875    0.026   -6.715  -15.000    9.953  -21.852   97.447   -1.590    3.761    9.593   -1.590   -5.157   -6.202   -2.279   -4.215    0.006   -0.054
   16.000   -6.341    0.319    0.315   -1.195   27.245   -1.853  -26.587    0.006   -7.155  -16.000   10.634  -23.208  104.573   -2.482    4.120   10.374   -2.482   -6.341   -7.469   -2.812   -5.189    0.002   -0.097
   17.000   -7.841    0.319    0.312   -2.014   28.502   -2.038  -28.477    0.007   -7.559  -17.000   11.298  -24.692  111.794   -3.685    4.510   11.190   -3.685   -7.841   -9.053   -3.492   -6.426    0.002   -0.144
   18.000   -9.393    0.319    0.310   -2.853   29.569   -2.223  -30.198    0.030   -7.983  -18.000   11.932  -26.018  118.236   -4.961    4.892   11.949   -4.961   -9.393  -10.682   -4.204   -7.710    0.007   -0.187
   19.000  -10.970    0.319    0.307   -3.746   30.550   -2.404  -31.891    0.011   -8.398  -19.000   12.570  -27.316  124.432   -6.268    5.280   12.699   -6.268  -10.970  -12.333   -4.933   -9.018    0.003   -0.230
   20.000  -12.360    0.319    0.305   -4.464   31.267   -2.595  -33.137    0.016   -8.883  -20.000   13.271  -28.247  129.129   -7.435    5.620   13.309   -7.435  -12.360  -13.786   -5.582  -10.176    0.004   -0.266
   13.977   -3.980    0.319    0.319   -0.051   24.583   -1.473  -23.162    0.009   -6.254  -13.977    9.265  -20.473   90.433   -0.701    3.415    8.833   -0.701   -3.980   -4.942   -1.752   -3.249    0.002   -0.011
