     atau     wage     TFP0     TFP1     DTFP       DM     DPhi       DF     Etau    Etau0    Etaul    Etauh     Expz        M       aY       aN       aL       aK       YN       aC     mTFP     nTFP    check     zphi
    0.000    0.229    0.414    0.414    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   86.304    5.008   34.962   66.597   71.605  104.117   52.498   25.819   40.791   48.298    0.003   -0.282
    1.000    0.397    0.414    0.416    0.386    1.910   -0.008   -1.516    0.001   -0.418   -1.000    0.358   -1.455    5.170    0.536    0.138    0.490    0.536    0.397    0.355    0.173    0.323    0.000    0.996
    2.000    0.681    0.414    0.417    0.702    3.733   -0.033   -2.999    0.002   -0.831   -2.000    0.747   -2.859   10.339    0.961    0.279    0.983    0.961    0.681    0.596    0.296    0.553    0.001    0.942
    3.000    0.865    0.414    0.418    0.956    5.474   -0.074   -4.444    0.001   -1.240   -3.000    1.157   -4.208   15.495    1.291    0.422    1.476    1.291    0.865    0.738    0.376    0.703    0.000    0.888
    4.000    0.936    0.414    0.419    1.144    7.285   -0.132   -6.009    0.001   -1.648   -4.000    1.600   -5.662   21.102    1.521    0.580    2.015    1.521    0.936    0.761    0.407    0.761    0.000    0.837
    5.000    0.880    0.414    0.419    1.255    8.986   -0.206   -7.525    0.005   -2.051   -5.000    2.090   -7.052   26.611    1.626    0.739    2.548    1.626    0.880    0.658    0.382    0.716    0.002    0.782
    6.000    0.705    0.414    0.420    1.292   10.862   -0.295   -9.274    0.004   -2.451   -6.000    2.612   -8.638   32.977    1.634    0.923    3.165    1.634    0.705    0.428    0.306    0.573    0.002    0.728
    7.000    0.449    0.414    0.419    1.282   12.500   -0.401  -10.817    0.005   -2.853   -7.000    3.168  -10.020   38.796    1.554    1.100    3.736    1.554    0.449    0.120    0.195    0.365    0.002    0.675
    8.000    0.035    0.414    0.419    1.172   14.278   -0.521  -12.586    0.006   -3.248   -8.000    3.794  -11.588   45.412    1.337    1.302    4.387    1.337    0.035   -0.353    0.015    0.028    0.002    0.621
    9.000   -0.435    0.414    0.418    1.030   15.830   -0.655  -14.145    0.005   -3.656   -9.000    4.449  -12.953   51.448    1.055    1.496    4.990    1.055   -0.435   -0.877   -0.189   -0.354    0.002    0.570
   10.000   -1.096    0.414    0.417    0.766   17.486   -0.803  -15.917    0.011   -4.047  -10.000    5.202  -14.490   58.195    0.602    1.716    5.666    0.602   -1.096   -1.599   -0.478   -0.892    0.004    0.516
   11.000   -1.814    0.414    0.416    0.458   19.062   -0.963  -17.641    0.001   -4.435  -11.000    5.994  -15.963   64.914    0.093    1.942    6.346    0.093   -1.814   -2.378   -0.794   -1.478    0.000    0.464
   12.000   -2.638    0.414    0.415    0.095   20.556   -1.134  -19.328    0.004   -4.837  -12.000    6.878  -17.389   71.575   -0.518    2.177    7.031   -0.518   -2.638   -3.265   -1.157   -2.151    0.002    0.412
   13.000   -3.682    0.414    0.412   -0.418   22.162   -1.312  -21.268    0.014   -5.217  -13.000    7.709  -19.018   79.088   -1.324    2.448    7.808   -1.324   -3.682   -4.379   -1.620   -3.006    0.005    0.358
   14.000   -4.751    0.414    0.410   -0.946   23.558   -1.499  -23.005    0.018   -5.617  -14.000    8.311  -20.450   85.935   -2.170    2.710    8.531   -2.170   -4.751   -5.512   -2.097   -3.882    0.006    0.307
   15.000   -5.934    0.414    0.408   -1.557   24.989   -1.692  -24.854    0.014   -6.002  -15.000    8.930  -21.960   93.263   -3.113    2.999    9.312   -3.113   -5.934   -6.765   -2.628   -4.855    0.005    0.256
   16.000   -7.279    0.414    0.405   -2.279   26.485   -1.887  -26.878    0.012   -6.378  -16.000    9.582  -23.587  101.295   -4.197    3.324   10.176   -4.197   -7.279   -8.184   -3.237   -5.962    0.004    0.203
   17.000   -8.718    0.414    0.401   -3.061   27.704   -2.082  -28.683    0.029   -6.766  -17.000   10.194  -25.018  108.215   -5.401    3.633   10.948   -5.401   -8.718   -9.690   -3.893   -7.151    0.010    0.153
   18.000  -10.169    0.414    0.398   -3.862   28.943   -2.278  -30.527    0.020   -7.146  -18.000   10.886  -26.459  115.508   -6.605    3.968   11.769   -6.605  -10.169  -11.212   -4.562   -8.354    0.007    0.103
   19.000  -11.704    0.414    0.395   -4.731   30.124   -2.473  -32.382    0.003   -7.540  -19.000   11.437  -27.892  122.783   -7.890    4.320   12.605   -7.890  -11.704  -12.817   -5.275   -9.629    0.001    0.055
   20.000  -13.400    0.414    0.391   -5.716   31.243   -2.656  -34.302    0.001   -7.925  -20.000   12.136  -29.354  130.041   -9.334    4.695   13.462   -9.334  -13.400  -14.584   -6.071  -11.044    0.000    0.006
   12.157   -2.840    0.414    0.414   -0.011   20.796   -1.160  -19.647    0.014   -4.892  -12.157    7.070  -17.661   72.688   -0.685    2.218    7.146   -0.685   -2.840   -3.477   -1.246   -2.316    0.005    0.403
