     atau     wage     TFP0     TFP1     DTFP       DM     DPhi       DF     Etau    Etau0    Etaul    Etauh     Expz        M       aY       aN       aL       aK       YN       aC     mTFP     nTFP    check     zphi
    0.000    0.180    0.327    0.327    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   74.911    4.317   24.948   61.580   65.897   74.796   40.512   20.250   36.355   39.044    0.713   -1.014
    1.000    0.265    0.327    0.328    0.290    1.765   -0.009   -1.466    0.001   -0.455   -1.000    0.469   -1.407    4.918    0.442    0.177    0.487    0.442    0.265    0.221    0.117    0.214    0.000    0.579
    2.000    0.457    0.327    0.329    0.553    3.667   -0.035   -3.080    0.002   -0.907   -2.000    0.974   -2.951   10.475    0.842    0.383    1.044    0.842    0.457    0.363    0.202    0.370    0.000    0.529
    3.000    0.576    0.327    0.329    0.786    5.661   -0.078   -4.797    0.002   -1.355   -3.000    1.519   -4.574   16.599    1.196    0.616    1.663    1.196    0.576    0.426    0.255    0.466    0.000    0.479
    4.000    0.630    0.327    0.330    0.980    7.421   -0.138   -6.303    0.002   -1.800   -4.000    2.125   -5.964   22.271    1.468    0.833    2.237    1.468    0.630    0.428    0.279    0.510    0.001    0.430
    5.000    0.609    0.327    0.331    1.145    9.317   -0.215   -7.957    0.000   -2.242   -5.000    2.772   -7.483   28.676    1.700    1.083    2.891    1.700    0.609    0.348    0.270    0.493    0.000    0.381
    6.000    0.500    0.327    0.331    1.273   11.296   -0.309   -9.714    0.002   -2.682   -6.000    3.500   -9.075   35.705    1.873    1.366    3.616    1.873    0.500    0.173    0.221    0.405    0.001    0.330
    7.000    0.331    0.327    0.331    1.363   13.035   -0.418  -11.254    0.001   -3.117   -7.000    4.272  -10.437   42.186    1.967    1.630    4.287    1.967    0.331   -0.056    0.147    0.268    0.000    0.283
    8.000    0.065    0.327    0.331    1.414   14.904   -0.543  -12.947    0.006   -3.549   -8.000    5.130  -11.924   49.483    2.001    1.935    5.050    2.001    0.065   -0.391    0.029    0.053    0.002    0.234
    9.000   -0.293    0.327    0.331    1.422   16.848   -0.682  -14.744    0.010   -3.977   -9.000    6.049  -13.478   57.466    1.979    2.278    5.893    1.979   -0.293   -0.824   -0.130   -0.237    0.003    0.185
   10.000   -0.673    0.327    0.331    1.412   18.567   -0.835  -16.320    0.003   -4.402  -10.000    6.756  -14.805   64.861    1.907    2.597    6.676    1.907   -0.673   -1.274   -0.299   -0.545    0.001    0.138
   11.000   -1.149    0.327    0.331    1.368   20.419   -0.999  -18.052    0.005   -4.856  -11.000    7.401  -16.251   73.206    1.781    2.965    7.566    1.781   -1.149   -1.830   -0.511   -0.932    0.001    0.093
   12.000   -1.769    0.327    0.331    1.240   22.335   -1.173  -19.922    0.006   -5.270  -12.000    8.130  -17.782   82.296    1.557    3.386    8.556    1.557   -1.769   -2.536   -0.788   -1.436    0.001    0.045
   13.000   -2.479    0.327    0.330    1.070   24.166   -1.355  -21.741    0.018   -5.677  -13.000    8.814  -19.247   91.428    1.247    3.821    9.560    1.247   -2.479   -3.333   -1.106   -2.013    0.005   -0.003
   14.000   -3.168    0.327    0.330    0.915   25.779   -1.545  -23.320    0.021   -6.126  -14.000    9.494  -20.477   99.827    0.920    4.223   10.486    0.920   -3.168   -4.104   -1.417   -2.575    0.005   -0.046
   15.000   -3.948    0.327    0.329    0.713   27.637   -1.740  -25.185    0.008   -6.569  -15.000   10.226  -21.919  109.942    0.577    4.711   11.605    0.577   -3.948   -4.980   -1.769   -3.211    0.002   -0.090
   16.000   -4.797    0.327    0.328    0.468   29.280   -1.940  -26.872    0.002   -6.987  -16.000   10.908  -23.197  119.327    0.136    5.183   12.660    0.136   -4.797   -5.920   -2.155   -3.905    0.001   -0.133
   17.000   -5.916    0.327    0.327    0.077   31.060   -2.128  -28.855    0.028   -7.394  -17.000   11.606  -24.667  130.026   -0.493    5.764   13.905   -0.493   -5.916   -7.140   -2.666   -4.820    0.007   -0.179
   18.000   -6.949    0.327    0.326   -0.277   32.685   -2.323  -30.639    0.016   -7.823  -18.000   12.262  -25.946  140.216   -1.071    6.317   15.089   -1.071   -6.949   -8.271   -3.141   -5.668    0.004   -0.221
   19.000   -7.759    0.327    0.325   -0.476   33.742   -2.530  -31.688    0.016   -8.321  -19.000   12.936  -26.652  147.029   -1.596    6.681   15.876   -1.596   -7.759   -9.151   -3.515   -6.334    0.004   -0.256
   20.000   -9.004    0.327    0.324   -0.944   35.193   -2.709  -33.427    0.037   -8.739  -20.000   13.608  -27.856  156.849   -2.386    7.272   17.071   -2.386   -9.004  -10.490   -4.095   -7.359    0.009   -0.298
   17.373   -6.255    0.327    0.327   -0.022   31.708   -2.203  -29.527    0.019   -7.571  -17.373   11.831  -25.153  134.007   -0.661    5.967   14.355   -0.661   -6.255   -7.518   -2.822   -5.098    0.005   -0.194
