     atau     wage     TFP0     TFP1     DTFP       DM     DPhi       DF     Etau    Etau0    Etaul    Etauh     Expz        M       aY       aN       aL       aK       YN       aC     mTFP     nTFP    check     zphi
    0.000    0.180    0.327    0.327    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   74.911    4.317   24.948   61.580   65.897   74.796   40.512   20.250   36.355   39.044    0.008   -0.441
    1.000   -2.417    0.327    0.324   -0.973   -0.608   -0.001   -0.365    0.930    0.589    0.000    1.000   -0.353   -1.650   -2.232    0.189    0.068   -2.232   -2.417   -2.400   -1.078   -1.962    0.134   -0.443
    2.000   -4.815    0.327    0.320   -1.966   -1.258   -0.002   -0.706    1.855    1.169    0.000    2.000   -0.698   -3.402   -4.461    0.372    0.125   -4.461   -4.815   -4.783   -2.163   -3.919    0.151   -0.449
    3.000   -7.190    0.327    0.317   -2.976   -1.967   -0.005   -1.004    2.777    1.734    0.000    3.000   -0.996   -5.297   -6.681    0.548    0.165   -6.681   -7.190   -7.141   -3.252   -5.865    0.092   -0.450
    4.000   -9.560    0.327    0.314   -4.005   -2.487   -0.009   -1.509    3.695    2.295    0.000    4.000   -1.506   -6.683   -8.880    0.751    0.264   -8.880   -9.560   -9.500   -4.354   -7.817    0.213   -0.457
    5.000  -11.902    0.327    0.310   -5.051   -3.024   -0.015   -2.012    4.606    2.846    0.000    5.000   -2.018   -8.108  -11.063    0.953    0.359  -11.063  -11.902  -11.832   -5.460   -9.756    0.040   -0.463
    6.000  -14.240    0.327    0.307   -6.123   -3.522   -0.021   -2.580    5.515    3.389    0.000    6.000   -2.590   -9.429  -13.243    1.163    0.469  -13.243  -14.240  -14.162   -6.580  -11.702    0.124   -0.470
    7.000  -16.538    0.327    0.303   -7.210   -4.207   -0.029   -2.973    6.416    3.907    0.000    7.000   -3.007  -11.218  -15.416    1.345    0.522  -15.416  -16.538  -16.449   -7.698  -13.623    0.004   -0.474
    8.000  -18.839    0.327    0.300   -8.328   -4.776   -0.038   -3.514    7.315    4.427    0.000    8.000   -3.571  -12.706  -17.583    1.547    0.613  -17.583  -18.839  -18.741   -8.834  -15.557    0.030   -0.479
    9.000  -21.118    0.327    0.296   -9.467   -5.343   -0.049   -4.075    8.207    4.939    0.000    9.000   -4.154  -14.184  -19.737    1.751    0.707  -19.737  -21.118  -21.014   -9.978  -17.484    0.018   -0.485
   10.000  -23.393    0.327    0.292  -10.640   -5.911   -0.060   -4.670    9.095    5.441    0.000   10.000   -4.788  -15.657  -21.894    1.957    0.803  -21.894  -23.393  -23.283  -11.137  -19.417    0.046   -0.493
   11.000  -25.636    0.327    0.288  -11.829   -6.510   -0.073   -5.246    9.973    5.933    0.000   11.000   -5.397  -17.203  -24.030    2.158    0.890  -24.030  -25.636  -25.520  -12.299  -21.333    0.003   -0.499
   12.000  -27.924    0.327    0.284  -13.089   -6.927   -0.087   -6.075   10.852    6.446    0.000   12.000   -6.275  -18.315  -26.197    2.396    1.039  -26.197  -27.924  -27.808  -13.506  -23.300    0.116   -0.512
   13.000  -30.176    0.327    0.280  -14.365   -7.347   -0.103   -6.916   11.718    6.922    0.000   13.000   -7.168  -19.435  -28.337    2.633    1.188  -28.337  -30.176  -30.060  -14.714  -25.247    0.082   -0.520
   14.000  -32.372    0.327    0.276  -15.647   -8.262   -0.120   -7.266   12.587    7.386    0.000   14.000   -7.596  -21.715  -30.483    2.793    1.188  -30.483  -32.372  -32.247  -15.913  -27.157    0.189   -0.527
   15.000  -34.620    0.327    0.271  -17.015   -8.607   -0.137   -8.270   13.433    7.879    0.000   15.000   -8.671  -22.667  -32.626    3.051    1.366  -32.626  -34.620  -34.499  -17.163  -29.126    0.064   -0.540
   16.000  -36.820    0.327    0.267  -18.386   -9.477   -0.156   -8.753   14.297    8.325    0.000   16.000   -9.253  -24.823  -34.783    3.225    1.388  -34.783  -36.820  -36.693  -18.410  -31.064    0.281   -0.548
   17.000  -39.039    0.327    0.262  -19.829   -9.875   -0.176   -9.778   15.123    8.805    0.000   17.000  -10.361  -25.908  -36.918    3.480    1.555  -36.918  -39.039  -38.916  -19.692  -33.031    0.120   -0.561
   18.000  -41.214    0.327    0.257  -21.281  -10.664   -0.196  -10.420   15.962    9.232    0.000   18.000  -11.117  -27.868  -39.056    3.671    1.605  -39.056  -41.214  -41.089  -20.975  -34.974    0.204   -0.570
   19.000  -43.452    0.327    0.252  -22.854  -11.074   -0.217  -11.562   16.772    9.702    0.000   19.000  -12.393  -29.000  -41.226    3.937    1.780  -41.226  -43.452  -43.334  -22.322  -36.987    0.044   -0.584
   20.000  -45.677    0.327    0.247  -24.462  -11.852   -0.237  -12.372   17.604   10.166    0.000   20.000  -13.335  -30.943  -43.424    4.149    1.850  -43.424  -45.677  -45.559  -23.692  -39.003    0.272   -0.598
    0.000    0.000    0.327    0.327    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.008   -0.441
