     atau     wage     TFP0     TFP1     DTFP       DM     DPhi       DF     Etau    Etau0    Etaul    Etauh     Expz        M       aY       aN       aL       aK       YN       aC     mTFP     nTFP    check     zphi
    0.000    0.250    0.358    0.358    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   78.314    5.102   29.728   74.189   79.292    0.000   40.070   27.379 Infinity Infinity    0.044   -0.764
    1.000    0.159    0.358    0.359    0.186    1.044   -0.008   -0.850    0.001   -0.460   -1.000    0.450   -0.820    2.819    0.230    0.071    0.247      NaN    0.160    0.137      NaN      NaN    0.000    0.681
    2.000    0.288    0.358    0.359    0.339    1.832   -0.033   -1.460    0.002   -0.920   -2.000    0.920   -1.410    4.995    0.419    0.128    0.441      NaN    0.291    0.250      NaN      NaN    0.001    0.653
    3.000    0.388    0.358    0.360    0.465    2.824   -0.075   -2.284    0.001   -1.379   -3.000    1.415   -2.201    7.796    0.592    0.202    0.691      NaN    0.389    0.328      NaN      NaN    0.000    0.624
    4.000    0.453    0.358    0.360    0.559    3.788   -0.134   -3.096    0.002   -1.839   -4.000    1.937   -2.977   10.589    0.732    0.275    0.938      NaN    0.456    0.371      NaN      NaN    0.001    0.596
    5.000    0.488    0.358    0.360    0.623    4.729   -0.209   -3.897    0.004   -2.298   -5.000    2.479   -3.736   13.383    0.842    0.348    1.187      NaN    0.492    0.384      NaN      NaN    0.001    0.567
    6.000    0.496    0.358    0.361    0.658    5.693   -0.301   -4.735    0.000   -2.758   -6.000    3.055   -4.527   16.317    0.928    0.430    1.453      NaN    0.496    0.366      NaN      NaN    0.000    0.539
    7.000    0.472    0.358    0.361    0.663    6.564   -0.409   -5.491    0.001   -3.217   -7.000    3.664   -5.242   19.034    0.981    0.506    1.698      NaN    0.473    0.320      NaN      NaN    0.000    0.510
    8.000    0.398    0.358    0.360    0.622    7.520   -0.535   -6.363    0.003   -3.655   -8.000    4.303   -6.051   22.092    0.991    0.588    1.972      NaN    0.401    0.221      NaN      NaN    0.001    0.475
    9.000    0.292    0.358    0.360    0.551    8.434   -0.677   -7.206    0.008   -4.108   -9.000    4.980   -6.835   25.096    0.970    0.669    2.240      NaN    0.300    0.092      NaN      NaN    0.002    0.446
   10.000    0.149    0.358    0.360    0.444    9.502   -0.835   -8.223    0.005   -4.565  -10.000    5.703   -7.773   28.700    0.927    0.771    2.568      NaN    0.155   -0.081      NaN      NaN    0.002    0.418
   11.000   -0.010    0.358    0.359    0.316   10.396   -1.009   -9.070    0.004   -5.022  -11.000    6.441   -8.551   31.805    0.856    0.862    2.853      NaN   -0.006   -0.267      NaN      NaN    0.001    0.389
   12.000   -0.202    0.358    0.359    0.162   11.196   -1.200   -9.833    0.013   -5.480  -12.000    7.246   -9.253   34.654    0.750    0.941    3.111      NaN   -0.190   -0.482      NaN      NaN    0.004    0.361
   13.000   -0.429    0.358    0.358   -0.032   12.091   -1.407  -10.717    0.008   -5.938  -13.000    7.812  -10.052   37.926    0.617    1.042    3.415      NaN   -0.420   -0.738      NaN      NaN    0.003    0.332
   14.000   -0.690    0.358    0.357   -0.256   12.934   -1.629  -11.561    0.012   -6.396  -14.000    8.350  -10.817   41.088    0.450    1.135    3.706      NaN   -0.678   -1.026      NaN      NaN    0.004    0.303
   15.000   -1.008    0.358    0.356   -0.529   13.916   -1.867  -12.579    0.017   -6.854  -15.000    8.862  -11.732   44.871    0.243    1.245    4.053      NaN   -0.990   -1.374      NaN      NaN    0.005    0.275
   16.000   -1.317    0.358    0.355   -0.811   14.728   -2.120  -13.419    0.006   -7.312  -16.000    9.330  -12.485   48.094    0.027    1.356    4.364      NaN   -1.312   -1.715      NaN      NaN    0.002    0.246
   17.000   -1.709    0.358    0.354   -1.154   15.671   -2.387  -14.438    0.016   -7.770  -17.000    9.882  -13.392   51.939   -0.250    1.469    4.716      NaN   -1.693   -2.138      NaN      NaN    0.005    0.218
   18.000   -2.115    0.358    0.353   -1.516   16.556   -2.668  -15.403    0.019   -8.228  -18.000   10.315  -14.252   55.653   -0.543    1.587    5.066      NaN   -2.096   -2.576      NaN      NaN    0.006    0.189
   19.000   -2.573    0.358    0.351   -1.934   17.534   -2.962  -16.505    0.011   -8.686  -19.000   10.852  -15.214   59.880   -0.879    1.728    5.470      NaN   -2.562   -3.072      NaN      NaN    0.003    0.161
   20.000   -3.053    0.358    0.350   -2.375   18.422   -3.270  -17.527    0.003   -9.144  -20.000   11.377  -16.106   63.847   -1.241    1.865    5.854      NaN   -3.050   -3.589      NaN      NaN    0.001    0.132
   12.833   -0.387    0.358    0.358    0.005   12.090   -1.371  -10.714    0.003   -5.875  -12.833    7.657  -10.048   37.912    0.655    1.042    3.415      NaN   -0.384   -0.696      NaN      NaN    0.001    0.339
