     atau     wage     TFP0     TFP1     DTFP       DM     DPhi       DF     Etau    Etau0    Etaul    Etauh     Expz        M       aY       aN       aL       aK       YN       aC     mTFP     nTFP    check     zphi
    0.000    0.250    0.358    0.358    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   78.314    5.102   29.728   74.189   79.292    0.000   40.070   27.379 Infinity Infinity    0.054   -0.410
    1.000   -1.409    0.358    0.356   -0.759   -0.314   -0.001   -0.444    0.933    0.599    0.000    1.000   -0.431   -0.836   -1.220   -0.744   -0.750      NaN   -0.480   -1.187      NaN      NaN    0.053   -0.410
    2.000   -2.812    0.358    0.353   -1.518   -0.475   -0.002   -1.041    1.864    1.194    0.000    2.000   -1.017   -1.268   -2.430   -1.478   -1.464      NaN   -0.966   -2.377      NaN      NaN    0.145   -0.417
    3.000   -4.207    0.358    0.350   -2.283   -0.864   -0.005   -1.414    2.793    1.787    0.000    3.000   -1.396   -2.302   -3.646   -2.224   -2.229      NaN   -1.455   -3.558      NaN      NaN    0.206   -0.424
    4.000   -5.586    0.358    0.347   -3.044   -1.225   -0.009   -1.810    3.717    2.366    0.000    4.000   -1.786   -3.261   -4.850   -2.966   -2.985      NaN   -1.942   -4.730      NaN      NaN    0.028   -0.424
    5.000   -6.969    0.358    0.345   -3.812   -1.418   -0.014   -2.380    4.641    2.950    0.000    5.000   -2.354   -3.780   -6.050   -3.699   -3.705      NaN   -2.441   -5.911      NaN      NaN    0.121   -0.431
    6.000   -8.339    0.358    0.342   -4.580   -1.736   -0.020   -2.825    5.562    3.531    0.000    6.000   -2.804   -4.624   -7.248   -4.438   -4.450      NaN   -2.941   -7.082      NaN      NaN    0.119   -0.438
    7.000   -9.699    0.358    0.339   -5.350   -2.092   -0.027   -3.232    6.479    4.105    0.000    7.000   -3.217   -5.567   -8.442   -5.177   -5.202      NaN   -3.443   -8.247      NaN      NaN    0.100   -0.445
    8.000  -11.053    0.358    0.336   -6.121   -2.275   -0.036   -3.810    7.392    4.666    0.000    8.000   -3.799   -6.064   -9.623   -5.904   -5.914      NaN   -3.953   -9.414      NaN      NaN    0.032   -0.452
    9.000  -12.402    0.358    0.334   -6.898   -2.483   -0.046   -4.369    8.303    5.227    0.000    9.000   -4.364   -6.626  -10.805   -6.632   -6.631      NaN   -4.469  -10.580      NaN      NaN    0.026   -0.452
   10.000  -13.738    0.358    0.331   -7.674   -2.812   -0.057   -4.804    9.212    5.791    0.000   10.000   -4.814   -7.500  -11.983   -7.365   -7.374      NaN   -4.985  -11.735      NaN      NaN    0.018   -0.460
   11.000  -15.076    0.358    0.328   -8.460   -3.028   -0.070   -5.362   10.120    6.351    0.000   11.000   -5.383   -8.085  -13.161   -8.092   -8.092      NaN   -5.515  -12.899      NaN      NaN    0.097   -0.467
   12.000  -16.408    0.358    0.325   -9.249   -3.233   -0.084   -5.932   11.024    6.907    0.000   12.000   -5.965   -8.642  -14.335   -8.818   -8.806      NaN   -6.051  -14.061      NaN      NaN    0.166   -0.474
   13.000  -17.715    0.358    0.322  -10.030   -3.509   -0.100   -6.421   11.918    7.454    0.000   13.000   -6.474   -9.383  -15.492   -9.539   -9.529      NaN   -6.581  -15.203      NaN      NaN    0.044   -0.481
   14.000  -19.049    0.358    0.319  -10.842   -3.506   -0.117   -7.219   12.814    8.007    0.000   14.000   -7.291   -9.414  -16.664  -10.246  -10.192      NaN   -7.151  -16.381      NaN      NaN    0.071   -0.488
   15.000  -20.358    0.358    0.317  -11.642   -3.728   -0.135   -7.779   13.708    8.551    0.000   15.000   -7.869  -10.020  -17.827  -10.967  -10.906      NaN   -7.705  -17.533      NaN      NaN    0.135   -0.495
   16.000  -21.637    0.358    0.314  -12.429   -4.094   -0.156   -8.179   14.593    9.083    0.000   16.000   -8.299  -10.993  -18.973  -11.690  -11.645      NaN   -8.247  -18.659      NaN      NaN    0.071   -0.502
   17.000  -22.950    0.358    0.311  -13.252   -4.219   -0.176   -8.856   15.487    9.625    0.000   17.000   -8.999  -11.357  -20.141  -12.406  -12.338      NaN   -8.831  -19.827      NaN      NaN    0.255   -0.509
   18.000  -24.210    0.358    0.308  -14.046   -4.399   -0.201   -9.446   16.352   10.147    0.000   18.000   -9.613  -11.859  -21.266  -13.103  -13.023      NaN   -9.395  -20.949      NaN      NaN    0.004   -0.517
   19.000  -25.484    0.358    0.305  -14.857   -4.643   -0.226   -9.988   17.230   10.671    0.000   19.000  -10.178  -12.529  -22.410  -13.816  -13.733      NaN   -9.971  -22.085      NaN      NaN    0.071   -0.524
   20.000  -26.774    0.358    0.302  -15.696   -4.743   -0.251  -10.702   18.107   11.200    0.000   20.000  -10.924  -12.836  -23.567  -14.519  -14.411      NaN  -10.584  -23.246      NaN      NaN    0.153   -0.531
    0.000    0.000    0.358    0.358    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000      NaN    0.000    0.000      NaN      NaN    0.054   -0.410
