     atau     wage     TFP0     TFP1     DTFP       DM     DPhi       DF     Etau    Etau0    Etaul    Etauh     Expz        M       aY       aN       aL       aK       YN       aC     mTFP     nTFP    check     zphi
    0.000    0.256    0.495    0.495    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   94.248    6.694   52.405   93.306  100.000  157.074   56.165   42.182   42.289   50.739    0.199   -0.559
    1.000   -0.951    0.495    0.496    0.093    0.702   -0.001   -0.608    0.907    0.907    0.000    1.000   -0.663    2.026   -1.095   -0.145   -0.000   -1.095   -0.951   -1.095   -0.434   -0.766    0.154   -0.238
    2.000   -1.864    0.495    0.496    0.202    1.545   -0.003   -1.340    1.810    1.810    0.000    2.000   -1.452    4.512   -2.182   -0.324    0.000   -2.182   -1.864   -2.182   -0.853   -1.503    0.154   -0.246
    3.000   -2.776    0.495    0.497    0.310    2.389   -0.007   -2.072    2.708    2.708    0.000    3.000   -2.236    7.058   -3.269   -0.506    0.000   -3.269   -2.776   -3.269   -1.273   -2.241    0.154   -0.254
    4.000   -3.708    0.495    0.497    0.416    3.234   -0.013   -2.806    3.601    3.601    0.000    4.000   -3.013    9.667   -4.328   -0.643    0.047   -4.328   -3.708   -4.328   -1.705   -2.996    0.154   -0.262
    5.000   -4.632    0.495    0.498    0.501    3.939   -0.020   -3.419    4.489    4.489    0.000    5.000   -3.656   11.889   -5.445   -0.853    0.000   -5.445   -4.632   -5.445   -2.136   -3.745    0.154   -0.269
    6.000   -5.539    0.495    0.498    0.603    4.787   -0.029   -4.155    5.371    5.371    0.000    6.000   -4.422   14.615   -6.530   -1.049    0.000   -6.530   -5.539   -6.530   -2.561   -4.483    0.154   -0.277
    7.000   -6.445    0.495    0.499    0.702    5.635   -0.039   -4.894    6.247    6.247    0.000    7.000   -5.182   17.407   -7.613   -1.249    0.000   -7.613   -6.445   -7.613   -2.987   -5.221    0.154   -0.285
    8.000   -7.349    0.495    0.499    0.798    6.484   -0.052   -5.634    7.117    7.117    0.000    8.000   -5.936   20.267   -8.696   -1.454    0.000   -8.696   -7.349   -8.696   -3.415   -5.959    0.154   -0.293
    9.000   -8.251    0.495    0.500    0.892    7.334   -0.066   -6.376    7.981    7.981    0.000    9.000   -6.684   23.198   -9.778   -1.664    0.000   -9.778   -8.251   -9.778   -3.844   -6.697    0.154   -0.301
   10.000   -9.151    0.495    0.500    0.983    8.186   -0.082   -7.121    8.838    8.838    0.000   10.000   -7.426   26.199  -10.858   -1.880    0.000  -10.858   -9.151  -10.858   -4.274   -7.434    0.154   -0.309
   11.000  -10.693    0.495    0.499    0.685    7.702   -0.091   -6.927    9.760    9.760    0.000   11.000   -7.854   24.517  -12.264   -1.759    0.000  -12.264  -10.693  -12.264   -5.018   -8.701    0.023   -0.338
   12.000  -12.518    0.495    0.496    0.223    6.534   -0.092   -6.218   10.731   10.731    0.000   12.000   -8.056   20.497  -13.805   -1.471    0.000  -13.805  -12.518  -13.805   -5.906  -10.206    0.059   -0.377
   13.000  -14.274    0.495    0.494   -0.187    5.482   -0.089   -5.580   11.709   11.709    0.000   13.000   -8.295   16.973  -15.292   -1.187    0.029  -15.292  -14.274  -15.292   -6.770  -11.659    0.139   -0.415
   14.000  -16.009    0.495    0.492   -0.603    4.229   -0.082   -4.750   12.690   12.690    0.000   14.000   -8.333   12.887  -16.786   -0.925    0.000  -16.786  -16.009  -16.786   -7.634  -13.102    0.111   -0.448
   15.000  -17.692    0.495    0.490   -0.985    3.036   -0.082   -3.939   13.669   13.669    0.000   15.000   -8.361    9.110  -18.230   -0.654    0.000  -18.230  -17.692  -18.230   -8.481  -14.506    0.007   -0.479
   16.000  -19.450    0.495    0.488   -1.404    1.499   -0.087   -2.816   14.680   14.680    0.000   16.000   -8.157    4.410  -19.705   -0.316    0.000  -19.705  -19.450  -19.705   -9.376  -15.978    0.202   -0.512
   17.000  -21.093    0.495    0.486   -1.772    0.215   -0.093   -1.893   15.672   15.672    0.000   17.000   -8.101    0.621  -21.128   -0.045    0.000  -21.128  -21.093  -21.128  -10.222  -17.360    0.044   -0.541
   18.000  -22.815    0.495    0.484   -2.176   -1.538   -0.097   -0.540   16.699   16.699    0.000   18.000   -7.621   -4.349  -22.574    0.312    0.000  -22.574  -22.815  -22.574  -11.119  -18.816    0.371   -0.572
   19.000  -24.416    0.495    0.483   -2.566   -3.115   -0.103    0.652   17.696   17.696    0.000   19.000   -7.311   -8.626  -24.042    0.495   -0.116  -24.042  -24.416  -24.042  -11.963  -20.174    0.049   -0.597
   20.000  -26.120    0.495    0.481   -2.954   -4.933   -0.106    2.085   18.730   18.730    0.000   20.000   -6.737  -13.333  -25.414    0.957    0.000  -25.414  -26.120  -25.414  -12.873  -21.626    0.287   -0.627
   12.587  -13.511    0.495    0.495   -0.001    5.984   -0.092   -5.893   11.296   11.296    0.000   12.587   -8.207   18.646  -14.668   -1.338    0.000  -14.668  -13.511  -14.668   -6.394  -11.027    0.030   -0.397
