     atau     wage     TFP0     TFP1     DTFP       DM     DPhi       DF     Etau    Etau0    Etaul    Etauh     Expz        M       aY       aN       aL       aK       YN       aC     mTFP     nTFP    check     zphi
    0.000    0.327    0.577    0.577    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000  111.430    4.038   65.632   95.962  100.000  206.557   68.394   52.189   45.836   58.455    0.005   -0.084
    1.000    0.251    0.577    0.578    0.139    1.656   -0.011   -1.506    0.000    0.000   -1.000    0.293   -1.712    5.354    0.026   -0.225    0.000    0.026    0.251    0.026    0.120    0.200    0.000    1.279
    2.000    0.476    0.577    0.578    0.266    3.442   -0.043   -3.132    0.002    0.002   -2.000    0.607   -3.523   11.441   -0.008   -0.481   -0.000   -0.008    0.476   -0.008    0.227    0.378    0.001    1.225
    3.000    0.633    0.577    0.579    0.360    5.102   -0.097   -4.645    0.001    0.001   -3.000    0.938   -5.175   17.408   -0.104   -0.733   -0.000   -0.104    0.633   -0.104    0.302    0.503    0.000    1.171
    4.000    0.742    0.577    0.579    0.431    6.765   -0.172   -6.162    0.000    0.000   -4.000    1.300   -6.799   23.694   -0.263   -0.997   -0.000   -0.263    0.742   -0.263    0.354    0.589    0.000    1.117
    5.000    0.812    0.577    0.580    0.491    8.558   -0.268   -7.798    0.001    0.001   -5.000    1.687   -8.517   30.841   -0.464   -1.266    0.031   -0.464    0.812   -0.464    0.387    0.645    0.001    1.061
    6.000    0.838    0.577    0.580    0.518   10.224   -0.385   -9.321    0.002    0.002   -6.000    2.109  -10.084   37.846   -0.768   -1.593    0.000   -0.768    0.838   -0.768    0.400    0.666    0.001    1.004
    7.000    0.806    0.577    0.580    0.523   11.892   -0.523  -10.846    0.001    0.001   -7.000    2.559  -11.625   45.226   -1.112   -1.903   -0.000   -1.112    0.806   -1.112    0.385    0.641    0.001    0.948
    8.000    0.751    0.577    0.580    0.518   13.692   -0.680  -12.494    0.003    0.003   -8.000    3.064  -13.255   53.617   -1.522   -2.256    0.000   -1.522    0.751   -1.522    0.358    0.597    0.002    0.891
    9.000    0.624    0.577    0.580    0.480   15.364   -0.857  -14.027    0.007    0.007   -9.000    3.606  -14.742   61.842   -1.995   -2.602   -0.000   -1.995    0.624   -1.995    0.298    0.496    0.005    0.834
   10.000    0.483    0.577    0.579    0.432   17.167   -1.052  -15.684    0.007    0.007  -10.000    4.210  -16.314   71.192   -2.527   -2.996   -0.000   -2.527    0.483   -2.527    0.231    0.384    0.005    0.776
   11.000    0.281    0.577    0.579    0.352   18.843   -1.265  -17.226    0.002    0.002  -11.000    4.860  -17.749   80.357   -3.109   -3.381   -0.000   -3.109    0.281   -3.109    0.134    0.224    0.001    0.720
   12.000    0.060    0.577    0.578    0.263   20.651   -1.495  -18.894    0.000    0.000  -12.000    5.566  -19.267   90.777   -3.762   -3.820   -0.000   -3.762    0.060   -3.762    0.029    0.048    0.000    0.663
   13.000   -0.225    0.577    0.578    0.155   22.463   -1.739  -20.569    0.011    0.011  -13.000    6.384  -20.757  101.799   -4.476   -4.261    0.022   -4.476   -0.225   -4.476   -0.108   -0.179    0.007    0.604
   14.000   -0.539    0.577    0.577    0.017   24.145   -1.998  -22.131    0.007    0.007  -14.000    7.273  -22.116  112.603   -5.252   -4.738   -0.000   -5.252   -0.539   -5.252   -0.258   -0.429    0.004    0.548
   15.000   -0.880    0.577    0.576   -0.129   25.963   -2.268  -23.824    0.010    0.010  -15.000    8.182  -23.553  124.886   -6.089   -5.255    0.000   -6.089   -0.880   -6.089   -0.421   -0.700    0.006    0.491
   16.000   -1.242    0.577    0.575   -0.294   27.784   -2.549  -25.529    0.002    0.002  -16.000    8.863  -24.965  137.878   -6.972   -5.802   -0.000   -6.972   -1.242   -6.972   -0.595   -0.989    0.001    0.434
   17.000   -1.653    0.577    0.574   -0.485   29.476   -2.836  -27.125    0.008    0.008  -17.000    9.560  -26.252  150.614   -7.957   -6.410   -0.069   -7.957   -1.653   -7.957   -0.793   -1.316    0.005    0.378
   18.000   -2.113    0.577    0.573   -0.683   31.307   -3.127  -28.862    0.009    0.009  -18.000   10.281  -27.613  165.093   -8.930   -6.963   -0.016   -8.930   -2.113   -8.930   -1.016   -1.684    0.006    0.322
   19.000   -2.594    0.577    0.572   -0.896   33.143   -3.418  -30.621    0.018    0.018  -19.000   11.014  -28.950  180.408   -9.989   -7.591   -0.000   -9.989   -2.594   -9.989   -1.249   -2.069    0.011    0.266
   20.000   -3.174    0.577    0.570   -1.218   35.020   -3.699  -32.539    0.002    0.002  -20.000   11.814  -30.465  197.015  -11.201   -8.290   -0.000  -11.201   -3.174  -11.201   -1.530   -2.532    0.001    0.209
   14.133   -0.581    0.577    0.577   -0.000   24.405   -2.033  -22.372    0.010    0.010  -14.133    7.403  -22.323  114.316   -5.364   -4.810   -0.000   -5.364   -0.581   -5.364   -0.278   -0.462    0.006    0.540
