     atau     wage     TFP0     TFP1     DTFP       DM     DPhi       DF     Etau    Etau0    Etaul    Etauh     Expz        M       aY       aN       aL       aK       YN       aC     mTFP     nTFP    check     zphi
    0.000    0.300    0.462    0.462    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   97.523    6.499   44.223   93.501  100.000    0.000   47.297   44.223 Infinity Infinity    0.301   -0.942
    1.000    0.202    0.462    0.462    0.141    0.867   -0.009   -0.717    0.000    0.000   -1.000    0.557   -0.766    2.402    0.035   -0.167    0.000      NaN    0.202    0.035      NaN      NaN    0.000    0.684
    2.000    0.387    0.462    0.463    0.264    1.735   -0.035   -1.435    0.001    0.001   -2.000    1.144   -1.526    4.862    0.049   -0.338    0.000      NaN    0.388    0.049      NaN      NaN    0.001    0.654
    3.000    0.579    0.462    0.463    0.370    2.604   -0.078   -2.155    0.002    0.002   -3.000    1.763   -2.280    7.381    0.005   -0.573   -0.056      NaN    0.581    0.005      NaN      NaN    0.001    0.625
    4.000    0.748    0.462    0.464    0.484    3.618   -0.140   -2.995    0.001    0.001   -4.000    2.406   -3.152   10.396    0.022   -0.723    0.000      NaN    0.750    0.022      NaN      NaN    0.001    0.595
    5.000    0.885    0.462    0.464    0.554    4.489   -0.218   -3.716    0.004    0.004   -5.000    3.103   -3.894   13.048   -0.026   -0.907   -0.000      NaN    0.889   -0.026      NaN      NaN    0.002    0.566
    6.000    1.011    0.462    0.464    0.607    5.360   -0.314   -4.438    0.002    0.002   -6.000    3.827   -4.630   15.763   -0.094   -1.096    0.000      NaN    1.012   -0.094      NaN      NaN    0.001    0.537
    7.000    1.156    0.462    0.465    0.667    6.376   -0.428   -5.281    0.000    0.000   -7.000    4.583   -5.482   19.013   -0.180   -1.322    0.000      NaN    1.157   -0.180      NaN      NaN    0.000    0.508
    8.000    1.242    0.462    0.465    0.684    7.248   -0.559   -6.004    0.006    0.006   -8.000    5.424   -6.206   21.872   -0.291   -1.520    0.000      NaN    1.249   -0.291      NaN      NaN    0.003    0.478
    9.000    1.361    0.462    0.465    0.683    8.119   -0.708   -6.728    0.005    0.005   -9.000    6.293   -6.924   24.800   -0.493   -1.834   -0.103      NaN    1.366   -0.493      NaN      NaN    0.002    0.450
   10.000    1.415    0.462    0.465    0.689    9.136   -0.874   -7.573    0.007    0.007  -10.000    7.003   -7.756   28.304   -0.573   -1.967    0.000      NaN    1.422   -0.573      NaN      NaN    0.003    0.420
   11.000    1.494    0.462    0.465    0.677   10.154   -1.058   -8.419    0.011    0.011  -11.000    7.709   -8.580   31.906   -0.747   -2.218    0.000      NaN    1.504   -0.747      NaN      NaN    0.005    0.391
   12.000    1.531    0.462    0.464    0.622   11.024   -1.259   -9.143    0.001    0.001  -12.000    8.372   -9.280   35.075   -0.943   -2.438    0.000      NaN    1.532   -0.943      NaN      NaN    0.001    0.364
   13.000    1.575    0.462    0.464    0.574   12.040   -1.477   -9.990    0.008    0.008  -13.000    9.033  -10.091   38.868   -1.161   -2.702    0.000      NaN    1.584   -1.161      NaN      NaN    0.004    0.334
   14.000    1.605    0.462    0.464    0.482   12.909   -1.713  -10.714    0.001    0.001  -14.000    9.688  -10.779   42.203   -1.444   -3.001   -0.063      NaN    1.606   -1.444      NaN      NaN    0.000    0.307
   15.000    1.586    0.462    0.463    0.397   13.924   -1.965  -11.562    0.014    0.014  -15.000   10.345  -11.577   46.196   -1.663   -3.211    0.000      NaN    1.600   -1.663      NaN      NaN    0.006    0.278
   16.000    1.591    0.462    0.463    0.294   14.938   -2.234  -12.411    0.013    0.013  -16.000   10.966  -12.367   50.301   -1.948   -3.496    0.000      NaN    1.605   -1.948      NaN      NaN    0.006    0.249
   17.000    1.578    0.462    0.462    0.172   15.952   -2.519  -13.261    0.015    0.015  -17.000   11.617  -13.150   54.521   -2.256   -3.790    0.000      NaN    1.594   -2.256      NaN      NaN    0.007    0.221
   18.000    1.568    0.462    0.462    0.031   16.964   -2.822  -14.111    0.000    0.000  -18.000   12.271  -13.926   58.860   -2.588   -4.091    0.000      NaN    1.568   -2.588      NaN      NaN    0.000    0.194
   19.000    1.523    0.462    0.461   -0.152   17.826   -3.139  -14.839    0.005    0.005  -19.000   12.869  -14.586   62.676   -3.009   -4.468   -0.104      NaN    1.528   -3.009      NaN      NaN    0.002    0.167
   20.000    1.449    0.462    0.460   -0.305   18.984   -3.472  -15.817    0.021    0.021  -20.000   13.476  -15.457   67.906   -3.320   -4.720    0.000      NaN    1.470   -3.320      NaN      NaN    0.009    0.137
   18.113    1.546    0.462    0.461   -0.005   16.961   -2.857  -14.109    0.005    0.005  -18.113   12.320  -13.926   58.860   -2.656   -4.143   -0.049      NaN    1.551   -2.656      NaN      NaN    0.002    0.191
