     atau     wage     TFP0     TFP1     DTFP       DM     DPhi       DF     Etau    Etau0    Etaul    Etauh     Expz        M       aY       aN       aL       aK       YN       aC     mTFP     nTFP    check     zphi
    0.000    0.300    0.462    0.462    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   97.523    6.499   44.223   93.501  100.000    0.000   47.297   44.223 Infinity Infinity   50.000   -1.304
    1.000    0.292    0.462    0.462    0.124    0.722   -0.001   -0.598   -0.117   -0.117   -1.000    0.000   -0.638    1.998    0.036   -0.139    0.000      NaN    0.175    0.036      NaN      NaN    0.040   -0.197
    2.000    0.622    0.462    0.463    0.271    1.590   -0.003   -1.316   -0.237   -0.237   -2.000    0.000   -1.399    4.448    0.074   -0.309    0.000      NaN    0.384    0.074      NaN      NaN    0.040   -0.205
    3.000    0.920    0.462    0.463    0.391    2.314   -0.008   -1.916   -0.360   -0.360   -3.000    0.000   -2.029    6.534    0.101   -0.454    0.000      NaN    0.558    0.101      NaN      NaN    0.040   -0.211
    4.000    1.222    0.462    0.464    0.510    3.040   -0.014   -2.516   -0.487   -0.487   -4.000    0.000   -2.655    8.663    0.125   -0.602    0.000      NaN    0.731    0.125      NaN      NaN    0.040   -0.218
    5.000    1.527    0.462    0.464    0.626    3.766   -0.021   -3.119   -0.617   -0.617   -5.000    0.000   -3.276   10.833    0.144   -0.753    0.000      NaN    0.904    0.144      NaN      NaN    0.040   -0.224
    6.000    1.835    0.462    0.465    0.741    4.493   -0.030   -3.722   -0.750   -0.750   -6.000    0.000   -3.894   13.048    0.160   -0.907    0.000      NaN    1.077    0.160      NaN      NaN    0.041   -0.230
    7.000    2.147    0.462    0.465    0.854    5.221   -0.040   -4.327   -0.887   -0.887   -7.000    0.000   -4.508   15.306    0.171   -1.064    0.000      NaN    1.249    0.171      NaN      NaN    0.041   -0.237
    8.000    2.461    0.462    0.466    0.965    5.950   -0.052   -4.933   -1.027   -1.027   -8.000    0.000   -5.118   17.609    0.179   -1.224    0.000      NaN    1.420    0.179      NaN      NaN    0.041   -0.243
    9.000    2.780    0.462    0.466    1.075    6.680   -0.064   -5.541   -1.170   -1.170   -9.000    0.000   -5.724   19.959    0.182   -1.387    0.000      NaN    1.591    0.182      NaN      NaN    0.041   -0.250
