     atau     wage     TFP0     TFP1     DTFP       DM     DPhi       DF     Etau    Etau0    Etaul    Etauh     Expz        M       aY       aN       aL       aK       YN       aC     mTFP     nTFP    check     zphi
    0.000    0.171    0.380    0.380    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   74.800    6.887   39.030   99.486  106.373  116.231   39.231   28.596   35.932   38.109    0.003    0.458
    1.000    0.471    0.380    0.382    0.394    2.001   -0.008   -1.598    0.000   -0.453   -1.000    0.458   -1.542    5.423    0.473    0.002    0.353    0.473    0.471    0.241    0.205    0.383    0.000    0.613
    2.000    0.836    0.380    0.383    0.721    3.825   -0.033   -3.071    0.000   -0.902   -2.000    0.951   -2.948   10.604    0.840    0.005    0.691    0.840    0.836    0.377    0.363    0.679    0.000    0.563
    3.000    1.071    0.380    0.384    0.965    5.727   -0.074   -4.687    0.001   -1.345   -3.000    1.492   -4.468   16.263    1.079    0.007    1.059    1.079    1.071    0.361    0.465    0.871    0.000    0.513
    4.000    1.230    0.380    0.385    1.165    7.471   -0.132   -6.174    0.000   -1.797   -4.000    2.079   -5.851   21.693    1.239    0.010    1.413    1.239    1.230    0.270    0.534    0.999    0.000    0.469
    5.000    1.227    0.380    0.385    1.257    9.272   -0.205   -7.810    0.002   -2.235   -5.000    2.703   -7.352   27.565    1.240    0.012    1.796    1.240    1.227   -0.004    0.532    0.997    0.001    0.419
    6.000    1.140    0.380    0.385    1.297   10.909   -0.295   -9.317    0.001   -2.667   -6.000    3.389   -8.720   33.139    1.155    0.015    2.159    1.155    1.140   -0.359    0.495    0.926    0.000    0.370
    7.000    0.863    0.380    0.385    1.206   12.777   -0.399  -11.172    0.002   -3.094   -7.000    4.160  -10.383   39.819    0.882    0.018    2.595    0.882    0.863   -0.951    0.375    0.702    0.001    0.319
    8.000    0.492    0.380    0.384    1.061   14.458   -0.517  -12.880    0.006   -3.522   -8.000    4.980  -11.893   46.122    0.514    0.021    3.006    0.514    0.492   -1.630    0.214    0.400    0.002    0.269
    9.000    0.035    0.380    0.384    0.856   16.073   -0.650  -14.567    0.001   -3.961   -9.000    5.902  -13.365   52.457    0.060    0.025    3.419    0.060    0.035   -2.401    0.015    0.029    0.000    0.226
   10.000   -0.611    0.380    0.382    0.529   17.642   -0.794  -16.319    0.011   -4.372  -10.000    6.638  -14.884   58.917   -0.583    0.028    3.841   -0.583   -0.611   -3.374   -0.266   -0.497    0.004    0.176
   11.000   -1.325    0.380    0.381    0.150   19.295   -0.949  -18.196    0.005   -4.813  -11.000    7.307  -16.481   66.026   -1.293    0.032    4.305   -1.293   -1.325   -4.447   -0.579   -1.079    0.002    0.132
   12.000   -2.116    0.380    0.379   -0.272   20.581   -1.114  -19.739    0.003   -5.222  -12.000    7.954  -17.781   71.833   -2.081    0.036    4.684   -2.081   -2.116   -5.547   -0.927   -1.725    0.001    0.083
   13.000   -3.119    0.380    0.377   -0.852   21.981   -1.286  -21.547    0.003   -5.646  -13.000    8.673  -19.290   78.442   -3.081    0.040    5.116   -3.081   -3.119   -6.896   -1.370   -2.545    0.001    0.040
   14.000   -4.266    0.380    0.375   -1.531   23.294   -1.462  -23.363    0.007   -6.039  -14.000    9.278  -20.790   84.950   -4.223    0.044    5.541   -4.223   -4.266   -8.390   -1.880   -3.484    0.003   -0.010
   15.000   -5.571    0.380    0.372   -2.318   24.504   -1.642  -25.181    0.024   -6.449  -15.000   10.016  -22.280   91.251   -5.526    0.048    5.953   -5.526   -5.571  -10.041   -2.465   -4.556    0.009   -0.054
   16.000   -6.476    0.380    0.370   -2.791   25.465   -1.835  -26.421    0.002   -6.927  -16.000   10.707  -23.273   96.336   -6.427    0.052    6.286   -6.427   -6.476  -11.246   -2.873   -5.300    0.001   -0.090
   17.000   -8.187    0.380    0.365   -3.906   26.628   -2.010  -28.525    0.010   -7.276  -17.000   11.409  -24.973  103.004   -8.134    0.058    6.722   -8.134   -8.187  -13.323   -3.650   -6.712    0.003   -0.140
   18.000   -9.692    0.380    0.362   -4.844   27.537   -2.191  -30.190    0.010   -7.678  -18.000   12.003  -26.292  108.432   -9.636    0.062    7.078   -9.636   -9.692  -15.147   -4.341   -7.958    0.004   -0.183
   19.000  -11.117    0.380    0.359   -5.711   28.228   -2.375  -31.565    0.003   -8.088  -19.000   12.710  -27.365  112.772  -11.058    0.067    7.363  -11.058  -11.117  -16.844   -5.001   -9.141    0.001   -0.225
   20.000  -12.707    0.380    0.355   -6.701   28.834   -2.550  -32.985    0.010   -8.529  -20.000   13.341  -28.475  116.822  -12.645    0.071    7.630  -12.645  -12.707  -18.697   -5.745  -10.466    0.003   -0.262
   11.351   -1.681    0.380    0.380   -0.055   19.740   -1.005  -18.790    0.015   -4.933  -11.351    7.539  -16.986   68.036   -1.648    0.033    4.436   -1.648   -1.681   -4.908   -0.735   -1.369    0.006    0.111
