     atau     wage     TFP0     TFP1     DTFP       DM     DPhi       DF     Etau    Etau0    Etaul    Etauh     Expz        M       aY       aN       aL       aK       YN       aC     mTFP     nTFP    check     zphi
    0.000    0.128    0.293    0.293    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   69.569    6.091   25.571   82.898   88.988   72.344   30.847   18.565   33.411   31.600    0.001    0.413
    1.000    0.575    0.293    0.294    0.528    2.383   -0.007   -1.848    0.000   -0.472   -1.000    0.610   -1.800    5.980    0.684    0.108    0.510    0.684    0.575    0.357    0.237    0.473    0.000    0.355
    2.000    1.048    0.293    0.296    0.984    4.137   -0.029   -3.125    0.001   -0.940   -2.000    1.270   -3.023   10.584    1.246    0.196    0.907    1.246    1.048    0.654    0.432    0.861    0.000    0.312
    3.000    1.361    0.293    0.297    1.341    6.460   -0.065   -5.054    0.000   -1.397   -3.000    1.987   -4.845   16.972    1.682    0.316    1.456    1.682    1.361    0.723    0.561    1.118    0.000    0.262
    4.000    1.615    0.293    0.298    1.663    8.127   -0.116   -6.348    0.003   -1.865   -4.000    2.779   -6.044   21.754    2.033    0.412    1.872    2.033    1.615    0.783    0.665    1.327    0.001    0.226
    5.000    1.630    0.293    0.298    1.824   10.310   -0.181   -8.306    0.005   -2.302   -5.000    3.626   -7.836   28.324    2.181    0.542    2.444    2.181    1.630    0.537    0.671    1.339    0.001    0.176
    6.000    1.678    0.293    0.299    2.020   11.905   -0.259   -9.627    0.006   -2.770   -6.000    4.571   -9.021   33.319    2.336    0.647    2.884    2.336    1.678    0.374    0.691    1.378    0.001    0.140
    7.000    1.489    0.293    0.299    2.051   13.865   -0.351  -11.463    0.004   -3.213   -7.000    5.355  -10.654   39.742    2.284    0.783    3.450    2.284    1.489   -0.082    0.613    1.224    0.001    0.097
    8.000    1.175    0.293    0.299    2.004   15.557   -0.455  -13.098    0.009   -3.650   -8.000    6.123  -12.091   45.541    2.098    0.913    3.967    2.098    1.175   -0.647    0.484    0.966    0.002    0.054
    9.000    0.796    0.293    0.298    1.909   17.057   -0.572  -14.576    0.003   -4.081   -9.000    6.865  -13.360   50.885    1.840    1.036    4.448    1.840    0.796   -1.260    0.329    0.655    0.001    0.011
   10.000    0.163    0.293    0.297    1.636   18.794   -0.699  -16.459    0.000   -4.502  -10.000    7.600  -14.972   57.362    1.354    1.189    5.034    1.354    0.163   -2.177    0.067    0.134    0.000   -0.032
   11.000   -0.440    0.293    0.297    1.413   20.215   -0.836  -17.966    0.008   -4.955  -11.000    8.398  -16.252   62.866    0.884    1.330    5.542    0.884   -0.440   -3.036   -0.182   -0.362    0.002   -0.068
   12.000   -1.382    0.293    0.295    0.926   21.771   -0.980  -19.865    0.009   -5.360  -12.000    9.074  -17.842   69.198    0.093    1.495    6.129    0.093   -1.382   -4.266   -0.574   -1.138    0.002   -0.111
   13.000   -2.497    0.293    0.294    0.319   23.202   -1.130  -21.753    0.019   -5.752  -13.000    9.846  -19.408   75.312   -0.872    1.666    6.707   -0.872   -2.497   -5.667   -1.040   -2.059    0.005   -0.154
   14.000   -3.307    0.293    0.293   -0.050   24.168   -1.291  -22.927    0.008   -6.188  -14.000   10.539  -20.351   79.545   -1.569    1.797    7.119   -1.569   -3.307   -6.690   -1.381   -2.729    0.002   -0.190
   15.000   -4.399    0.293    0.291   -0.621   25.200   -1.455  -24.365    0.012   -6.619  -15.000   11.315  -21.509   84.273   -2.535    1.949    7.584   -2.535   -4.399   -8.020   -1.843   -3.633    0.003   -0.226
   16.000   -5.505    0.293    0.289   -1.199   25.962   -1.625  -25.537    0.015   -7.044  -16.000   12.002  -22.448   87.928   -3.536    2.084    7.960   -3.536   -5.505   -9.325   -2.315   -4.552    0.004   -0.262
   17.000   -6.697    0.293    0.287   -1.852   26.721   -1.798  -26.774    0.000   -7.462  -17.000   12.739  -23.433   91.682   -4.618    2.228    8.351   -4.618   -6.697  -10.720   -2.826   -5.544    0.000   -0.297
   18.000   -8.173    0.293    0.285   -2.700   27.382   -1.965  -28.117    0.021   -7.870  -18.000   13.456  -24.527   95.177   -5.985    2.383    8.734   -5.985   -8.173  -12.397   -3.465   -6.774    0.005   -0.333
   19.000   -9.734    0.293    0.282   -3.629   28.026   -2.135  -29.520    0.024   -8.266  -19.000   14.166  -25.663   98.713   -7.435    2.547    9.130   -7.435   -9.734  -14.163   -4.147   -8.081    0.006   -0.369
   20.000  -11.596    0.293    0.279   -4.799   28.594   -2.291  -31.103    0.040   -8.646  -20.000   14.775  -26.942  102.101   -9.186    2.727    9.528   -9.186  -11.596  -16.227   -4.970   -9.644    0.009   -0.405
   13.876   -3.233    0.293    0.293   -0.029   24.099   -1.271  -22.858    0.007   -6.114  -13.876   10.511  -20.301   79.245   -1.505    1.786    7.088   -1.505   -3.233   -6.600   -1.350   -2.668    0.002   -0.190
