     atau     wage     TFP0     TFP1     DTFP       DM     DPhi       DF     Etau    Etau0    Etaul    Etauh     Expz        M       aY       aN       aL       aK       YN       aC     mTFP     nTFP    check     zphi
    0.000    0.137    0.298    0.298    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   66.741    5.521   26.455   84.287   89.808   78.784   31.387   19.234   32.607   31.785    0.002   -0.190
    1.000    0.559    0.298    0.299    0.503    2.263   -0.008   -1.752    0.001   -0.489   -1.000    0.562   -1.701    6.153    0.660    0.100    0.472    0.660    0.559    0.357    0.243    0.454    0.000    0.330
    2.000    1.010    0.298    0.301    0.936    4.060   -0.033   -3.091    0.003   -0.976   -2.000    1.175   -2.975   11.279    1.199    0.187    0.869    1.199    1.010    0.634    0.439    0.821    0.001    0.287
    3.000    1.348    0.298    0.302    1.297    6.113   -0.074   -4.741    0.000   -1.456   -3.000    1.827   -4.532   17.419    1.643    0.291    1.344    1.643    1.348    0.760    0.585    1.095    0.000    0.243
    4.000    1.540    0.298    0.303    1.568    8.100   -0.132   -6.401    0.002   -1.934   -4.000    2.564   -6.068   23.668    1.946    0.400    1.830    1.946    1.540    0.733    0.667    1.251    0.000    0.198
    5.000    1.628    0.298    0.303    1.777    9.894   -0.205   -7.912    0.006   -2.405   -5.000    3.381   -7.449   29.577    2.143    0.506    2.293    2.143    1.628    0.607    0.706    1.322    0.002    0.154
    6.000    1.580    0.298    0.304    1.897   11.792   -0.295   -9.601    0.007   -2.878   -6.000    4.251   -8.974   36.133    2.216    0.626    2.809    2.216    1.580    0.319    0.685    1.283    0.002    0.111
    7.000    1.397    0.298    0.304    1.930   13.586   -0.399  -11.257    0.010   -3.337   -7.000    5.132  -10.447   42.633    2.157    0.749    3.324    2.157    1.397   -0.106    0.606    1.135    0.003    0.067
    8.000    1.111    0.298    0.304    1.894   15.352   -0.517  -12.942    0.004   -3.807   -8.000    5.831  -11.927   49.337    2.000    0.879    3.858    2.000    1.111   -0.645    0.482    0.903    0.001    0.025
    9.000    0.745    0.298    0.303    1.817   16.785   -0.649  -14.319    0.009   -4.276   -9.000    6.580  -13.112   55.013    1.749    0.996    4.317    1.749    0.745   -1.232    0.324    0.606    0.002   -0.015
   10.000    0.251    0.298    0.303    1.662   18.229   -0.793  -15.774    0.017   -4.741  -10.000    7.296  -14.364   60.965    1.378    1.124    4.803    1.378    0.251   -1.965    0.109    0.204    0.005   -0.055
   11.000   -0.454    0.298    0.302    1.343   19.822   -0.947  -17.532    0.009   -5.191  -11.000    8.008  -15.859   67.849    0.813    1.273    5.365    0.813   -0.454   -2.940   -0.198   -0.369    0.002   -0.097
   12.000   -1.328    0.298    0.301    0.906   21.324   -1.110  -19.309    0.003   -5.613  -12.000    8.698  -17.352   74.664    0.081    1.427    5.930    0.081   -1.328   -4.086   -0.580   -1.082    0.001   -0.141
   13.000   -2.318    0.298    0.299    0.405   22.751   -1.280  -21.066    0.011   -6.056  -13.000    9.443  -18.813   81.433   -0.765    1.590    6.499   -0.765   -2.318   -5.353   -1.016   -1.890    0.003   -0.181
   14.000   -3.322    0.298    0.298   -0.113   23.911   -1.457  -22.567    0.004   -6.503  -14.000   10.077  -20.039   87.191   -1.641    1.739    6.992   -1.641   -3.322   -6.599   -1.460   -2.711    0.001   -0.220
   15.000   -4.070    0.298    0.297   -0.408   24.700   -1.647  -23.460    0.001   -7.018  -15.000   10.818  -20.732   91.183   -2.291    1.855    7.347   -2.291   -4.070   -7.533   -1.793   -3.324    0.000   -0.251
   16.000   -5.238    0.298    0.295   -1.017   25.563   -1.837  -24.743    0.014   -7.459  -16.000   11.604  -21.776   95.806   -3.346    1.997    7.764   -3.346   -5.238   -8.912   -2.315   -4.282    0.003   -0.288
   17.000   -6.486    0.298    0.293   -1.681   26.393   -2.025  -26.049    0.024   -7.936  -17.000   12.144  -22.830  100.410   -4.479    2.146    8.187   -4.479   -6.486  -10.374   -2.877   -5.309    0.006   -0.324
   18.000   -8.049    0.298    0.290   -2.600   27.209   -2.211  -27.598    0.033   -8.340  -18.000   12.858  -24.096  105.221   -5.922    2.313    8.639   -5.922   -8.049  -12.159   -3.587   -6.598    0.008   -0.362
   19.000   -9.780    0.298    0.287   -3.679   27.975   -2.389  -29.266    0.016   -8.740  -19.000   13.491  -25.442  109.999   -7.534    2.490    9.099   -7.534   -9.780  -14.111   -4.382   -8.031    0.004   -0.401
   20.000  -11.283    0.298    0.284   -4.553   28.514   -2.571  -30.496    0.010   -9.192  -20.000   14.228  -26.414  113.505   -8.938    2.644    9.459   -8.938  -11.283  -15.795   -5.079   -9.279    0.002   -0.434
   14.000   -3.322    0.298    0.298   -0.113   23.911   -1.457  -22.567    0.004   -6.503  -14.000   10.157  -20.039   87.191   -1.641    1.739    6.992   -1.641   -3.322   -6.599   -1.460   -2.711    0.001   -0.220
