     atau     wage     TFP0     TFP1     DTFP       DM     DPhi       DF     Etau    Etau0    Etaul    Etauh     Expz        M       aY       aN       aL       aK       YN       aC     mTFP     nTFP    check     zphi
    0.000    0.250    0.382    0.382    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   78.314    6.043   35.208   87.865   93.908    0.000   40.070   32.426 Infinity Infinity    0.003    0.075
    1.000    0.159    0.382    0.382    0.171    1.029   -0.008   -0.850    0.001   -0.460   -1.000    0.450   -0.820    2.778    0.190    0.031    0.207      NaN    0.160    0.097      NaN      NaN    0.000    0.681
    2.000    0.288    0.382    0.383    0.311    1.805   -0.033   -1.460    0.002   -0.920   -2.000    0.920   -1.410    4.919    0.346    0.055    0.368      NaN    0.291    0.178      NaN      NaN    0.001    0.653
    3.000    0.388    0.382    0.383    0.422    2.780   -0.075   -2.283    0.001   -1.379   -3.000    1.415   -2.201    7.673    0.477    0.087    0.576      NaN    0.389    0.213      NaN      NaN    0.000    0.624
    4.000    0.453    0.382    0.384    0.501    3.729   -0.134   -3.095    0.002   -1.839   -4.000    1.937   -2.977   10.418    0.575    0.119    0.782      NaN    0.456    0.215      NaN      NaN    0.001    0.596
    5.000    0.488    0.382    0.384    0.549    4.653   -0.209   -3.896    0.004   -2.298   -5.000    2.479   -3.736   13.160    0.644    0.151    0.988      NaN    0.492    0.186      NaN      NaN    0.001    0.567
    6.000    0.496    0.382    0.384    0.566    5.599   -0.301   -4.732    0.000   -2.758   -6.000    3.055   -4.527   16.035    0.683    0.186    1.206      NaN    0.496    0.122      NaN      NaN    0.000    0.539
    7.000    0.472    0.382    0.384    0.555    6.453   -0.409   -5.488    0.001   -3.217   -7.000    3.664   -5.242   18.694    0.692    0.219    1.408      NaN    0.473    0.033      NaN      NaN    0.000    0.510
    8.000    0.398    0.382    0.384    0.496    7.390   -0.534   -6.359    0.003   -3.655   -8.000    4.303   -6.051   21.687    0.656    0.254    1.634      NaN    0.401   -0.111      NaN      NaN    0.001    0.475
    9.000    0.292    0.382    0.383    0.409    8.286   -0.676   -7.201    0.008   -4.108   -9.000    4.980   -6.835   24.624    0.590    0.289    1.855      NaN    0.300   -0.286      NaN      NaN    0.003    0.446
   10.000    0.149    0.382    0.383    0.280    9.330   -0.834   -8.216    0.005   -4.565  -10.000    5.703   -7.773   28.142    0.489    0.333    2.123      NaN    0.155   -0.515      NaN      NaN    0.002    0.418
   11.000   -0.010    0.382    0.382    0.134   10.203   -1.008   -9.061    0.004   -5.022  -11.000    6.441   -8.551   31.166    0.367    0.373    2.354      NaN   -0.006   -0.751      NaN      NaN    0.001    0.389
   12.000   -0.202    0.382    0.382   -0.037   10.985   -1.199   -9.823    0.013   -5.480  -12.000    7.246   -9.253   33.941    0.216    0.407    2.565      NaN   -0.190   -1.009      NaN      NaN    0.004    0.361
   13.000   -0.429    0.382    0.381   -0.253   11.857   -1.405  -10.704    0.008   -5.938  -13.000    7.812  -10.052   37.118    0.028    0.450    2.810      NaN   -0.420   -1.319      NaN      NaN    0.003    0.332
   14.000   -0.690    0.382    0.380   -0.495   12.678   -1.627  -11.546    0.012   -6.396  -14.000    8.350  -10.817   40.189   -0.191    0.490    3.045      NaN   -0.678   -1.657      NaN      NaN    0.004    0.303
   15.000   -1.008    0.382    0.379   -0.791   13.634   -1.864  -12.561    0.017   -6.854  -15.000    8.862  -11.732   43.859   -0.458    0.538    3.325      NaN   -0.990   -2.064      NaN      NaN    0.006    0.275
   16.000   -1.317    0.382    0.378   -1.095   14.420   -2.117  -13.399    0.006   -7.312  -16.000    9.330  -12.485   46.968   -0.734    0.586    3.570      NaN   -1.312   -2.463      NaN      NaN    0.002    0.246
   17.000   -1.709    0.382    0.376   -1.460   15.337   -2.383  -14.414    0.016   -7.770  -17.000    9.882  -13.392   50.688   -1.070    0.634    3.855      NaN   -1.693   -2.943      NaN      NaN    0.006    0.218
   18.000   -2.115    0.382    0.375   -1.845   16.194   -2.664  -15.376    0.019   -8.228  -18.000   10.315  -14.252   54.271   -1.426    0.685    4.133      NaN   -2.096   -3.441      NaN      NaN    0.007    0.189
   19.000   -2.573    0.382    0.373   -2.290   17.139   -2.957  -16.472    0.011   -8.686  -19.000   10.852  -15.214   58.336   -1.836    0.745    4.451      NaN   -2.562   -4.008      NaN      NaN    0.004    0.161
   20.000   -3.053    0.382    0.371   -2.758   17.994   -3.263  -17.489    0.003   -9.144  -20.000   11.377  -16.106   62.140   -2.270    0.804    4.751      NaN   -3.050   -4.593      NaN      NaN    0.001    0.132
   11.786   -0.161    0.382    0.382    0.001   10.840   -1.157   -9.682    0.012   -5.388  -11.786    7.104   -9.120   33.422    0.250    0.400    2.525      NaN   -0.149   -0.954      NaN      NaN    0.004    0.368
