     atau     wage     TFP0     TFP1     DTFP       DM     DPhi       DF     Etau    Etau0    Etaul    Etauh     Expz        M       aY       aN       aL       aK       YN       aC     mTFP     nTFP    check     zphi
    0.000    0.469    0.873    0.873    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000  177.103    6.781  103.998   93.220  100.000  311.377  111.562   85.256   55.462   89.768    0.000    0.000
    1.000    0.342    0.873    0.874    0.169    1.624   -0.008   -1.447    0.000    0.000   -1.000    0.356   -1.628    4.148    0.039   -0.302   -0.000    0.039    0.342    0.039    0.144    0.280    0.000    1.791
    2.000    0.646    0.873    0.876    0.323    3.251   -0.030   -2.898    0.002    0.002   -2.000    0.732   -3.229    8.469    0.026   -0.616   -0.000    0.026    0.646    0.026    0.271    0.529    0.002    1.738
    3.000    0.922    0.873    0.877    0.461    4.881   -0.068   -4.352    0.001    0.001   -3.000    1.129   -4.805   12.968   -0.042   -0.956   -0.012   -0.042    0.922   -0.042    0.387    0.755    0.001    1.687
    4.000    1.182    0.873    0.878    0.598    6.651   -0.120   -5.932    0.000    0.000   -4.000    1.550   -6.483   18.054   -0.147   -1.314   -0.000   -0.147    1.182   -0.147    0.496    0.968    0.000    1.635
    5.000    1.380    0.873    0.879    0.704    8.287   -0.188   -7.394    0.000    0.000   -5.000    2.000   -8.007   22.951   -0.313   -1.670   -0.000   -0.313    1.380   -0.313    0.578    1.130    0.000    1.583
    6.000    1.537    0.873    0.880    0.795    9.925   -0.271   -8.860    0.004    0.004   -6.000    2.492   -9.505   28.051   -0.535   -2.041   -0.000   -0.535    1.537   -0.535    0.644    1.258    0.004    1.529
    7.000    1.686    0.873    0.881    0.885   11.704   -0.368  -10.452    0.005    0.005   -7.000    3.007  -11.102   33.815   -0.796   -2.441    0.018   -0.796    1.686   -0.796    0.706    1.380    0.005    1.475
    8.000    1.791    0.873    0.881    0.944   13.350   -0.479  -11.926    0.003    0.003   -8.000    3.557  -12.550   39.366   -1.125   -2.864   -0.000   -1.125    1.791   -1.125    0.749    1.466    0.003    1.423
    9.000    1.844    0.873    0.881    0.988   14.997   -0.605  -13.404    0.006    0.006   -9.000    4.157  -13.976   45.148   -1.502   -3.285   -0.000   -1.502    1.844   -1.502    0.771    1.509    0.006    1.369
   10.000    1.872    0.873    0.882    1.017   16.649   -0.745  -14.887    0.001    0.001  -10.000    4.791  -15.378   51.169   -1.921   -3.723   -0.000   -1.921    1.872   -1.921    0.783    1.532    0.001    1.317
   11.000    1.890    0.873    0.882    1.044   18.442   -0.898  -16.499    0.007    0.007  -11.000    5.493  -16.871   57.974   -2.408   -4.218   -0.000   -2.408    1.890   -2.408    0.790    1.546    0.007    1.262
   12.000    1.853    0.873    0.882    1.042   20.100   -1.065  -17.992    0.001    0.001  -12.000    6.220  -18.227   64.527   -2.928   -4.694   -0.000   -2.928    1.853   -2.928    0.775    1.517    0.001    1.209
   13.000    1.772    0.873    0.882    1.026   21.761   -1.244  -19.491    0.005    0.005  -13.000    7.043  -19.560   71.352   -3.511   -5.191   -0.000   -3.511    1.772   -3.511    0.741    1.450    0.005    1.156
   14.000    1.706    0.873    0.882    1.009   23.567   -1.435  -21.123    0.003    0.003  -14.000    7.943  -20.980   79.066   -4.144   -5.752   -0.000   -4.144    1.706   -4.144    0.714    1.397    0.003    1.102
   15.000    1.560    0.873    0.881    0.964   25.236   -1.637  -22.635    0.009    0.009  -15.000    8.931  -22.269   86.494   -4.830   -6.292   -0.000   -4.830    1.560   -4.830    0.653    1.277    0.009    1.048
   16.000    1.430    0.873    0.881    0.918   27.051   -1.850  -24.283    0.010    0.010  -16.000    9.643  -23.642   94.889   -5.566   -6.898    0.004   -5.566    1.430   -5.566    0.599    1.171    0.009    0.994
   17.000    1.239    0.873    0.880    0.844   28.728   -2.072  -25.813    0.007    0.007  -17.000   10.326  -24.888  102.974   -6.345   -7.491   -0.000   -6.345    1.239   -6.345    0.519    1.015    0.007    0.942
