     atau     wage     TFP0     TFP1     DTFP       DM     DPhi       DF     Etau    Etau0    Etaul    Etauh     Expz        M       aY       aN       aL       aK       YN       aC     mTFP     nTFP    check     zphi
    0.000    0.210    0.440    0.440    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   82.287   10.079   43.790   90.013  100.092  124.690   48.649   35.675   40.434   45.798    0.006    0.540
    1.000    0.633    0.440    0.441    0.297    1.689   -0.008   -1.385    0.001    0.001   -1.000    0.583   -1.454    4.512    0.034   -0.595   -0.081    0.034    0.633    0.034    0.273    0.515    0.000    0.493
    2.000    1.200    0.440    0.442    0.577    3.384   -0.032   -2.774    0.001    0.001   -2.000    1.213   -2.886    9.227    0.051   -1.135   -0.092    0.051    1.200    0.051    0.517    0.976    0.000    0.445
    3.000    1.731    0.440    0.444    0.842    5.084   -0.073   -4.169    0.001    0.001   -3.000    1.896   -4.298   14.155    0.015   -1.687   -0.092    0.015    1.731    0.015    0.745    1.408    0.000    0.397
    4.000    2.232    0.440    0.445    1.090    6.788   -0.130   -5.568    0.001    0.001   -4.000    2.648   -5.690   19.306   -0.083   -2.264   -0.092   -0.083    2.232   -0.083    0.959    1.814    0.001    0.349
    5.000    2.701    0.440    0.446    1.322    8.498   -0.202   -6.973    0.004    0.004   -5.000    3.468   -7.061   24.689   -0.244   -2.867   -0.092   -0.244    2.701   -0.244    1.159    2.195    0.002    0.301
    6.000    3.144    0.440    0.447    1.538   10.212   -0.291   -8.383    0.004    0.004   -6.000    4.363   -8.412   30.314   -0.462   -3.497   -0.092   -0.462    3.144   -0.462    1.348    2.554    0.002    0.254
    7.000    3.557    0.440    0.448    1.738   11.932   -0.395   -9.799    0.007    0.007   -7.000    5.338   -9.744   36.194   -0.746   -4.155   -0.092   -0.746    3.557   -0.746    1.523    2.888    0.003    0.208
    8.000    3.948    0.440    0.448    1.921   13.656   -0.514  -11.221    0.004    0.004   -8.000    6.150  -11.057   42.338   -1.086   -4.843   -0.092   -1.086    3.948   -1.086    1.688    3.205    0.002    0.162
    9.000    4.309    0.440    0.449    2.088   15.386   -0.647  -12.650    0.004    0.004   -9.000    6.967  -12.351   48.760   -1.493   -5.562   -0.092   -1.493    4.309   -1.493    1.841    3.497    0.002    0.117
   10.000    4.638    0.440    0.450    2.239   17.120   -0.795  -14.086    0.009    0.009  -10.000    7.762  -13.626   55.472   -1.968   -6.314   -0.092   -1.968    4.638   -1.968    1.980    3.763    0.004    0.071
   11.000    4.951    0.440    0.450    2.375   18.860   -0.956  -15.530    0.008    0.008  -11.000    8.600  -14.882   62.487   -2.500   -7.099   -0.092   -2.500    4.951   -2.500    2.112    4.015    0.003    0.027
   12.000    5.224    0.440    0.451    2.494   20.606   -1.128  -16.983    0.012    0.012  -12.000    9.433  -16.120   69.818   -3.092   -7.903   -0.077   -3.092    5.224   -3.092    2.226    4.235    0.005   -0.017
   13.000    5.449    0.440    0.451    2.570   22.195   -1.313  -18.312    0.007    0.007  -13.000   10.292  -17.230   76.769   -3.767   -8.740   -0.129   -3.767    5.449   -3.767    2.321    4.417    0.003   -0.058
   14.000    5.664    0.440    0.452    2.659   23.951   -1.505  -19.787    0.011    0.011  -14.000   11.137  -18.434   84.744   -4.471   -9.592   -0.092   -4.471    5.664   -4.471    2.411    4.591    0.004   -0.101
   15.000    5.894    0.440    0.452    2.732   25.713   -1.706  -21.275    0.005    0.005  -15.000   11.911  -19.621   93.079   -5.251  -10.525   -0.092   -5.251    5.894   -5.251    2.507    4.776    0.002   -0.142
   16.000    5.681    0.440    0.451    2.481   27.381   -1.898  -23.001    0.010    0.010  -16.000   12.970  -21.218  101.461   -6.434  -11.463   -0.092   -6.434    5.681   -6.434    2.418    4.604    0.004   -0.193
   17.000    4.160    0.440    0.445    1.210   28.866   -2.027  -25.629    0.012    0.012  -17.000   14.507  -24.328  109.862   -8.760  -12.404   -0.092   -8.760    4.160   -8.760    1.778    3.376    0.005   -0.273
   18.000    2.605    0.440    0.440   -0.053   30.164   -2.117  -28.100    0.000    0.000  -18.000   16.122  -27.222  117.599  -11.011  -13.271   -0.092  -11.011    2.605  -11.011    1.118    2.117    0.000   -0.346
   19.000    0.981    0.440    0.434   -1.336   31.476   -2.133  -30.679    0.027    0.027  -19.000   17.789  -30.136  125.703  -13.336  -14.178   -0.092  -13.336    0.981  -13.336    0.423    0.798    0.010   -0.420
   20.000   -0.582    0.440    0.429   -2.594   32.769   -2.061  -33.302    0.022    0.022  -20.000   19.471  -32.931  133.943  -15.595  -15.101   -0.092  -15.595   -0.582  -15.595   -0.252   -0.474    0.008   -0.488
   17.959    2.658    0.440    0.440   -0.001   30.081   -2.113  -27.969    0.012    0.012  -17.959   16.012  -27.083  117.114  -10.934  -13.240   -0.113  -10.934    2.658  -10.934    1.141    2.160    0.005   -0.344
