     atau     wage     TFP0     TFP1     DTFP       DM     DPhi       DF     Etau    Etau0    Etaul    Etauh     Expz        M       aY       aN       aL       aK       YN       aC     mTFP     nTFP    check     zphi
    0.000    0.311    0.584    0.584    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000  114.482    5.131   64.887   94.869  100.000  194.488   68.397   52.229   46.257   59.459    0.007   -0.323
    1.000    0.302    0.584    0.585    0.160    1.688   -0.009   -1.519    0.000    0.000   -1.000    0.321   -1.697    4.941    0.034   -0.267    0.000    0.034    0.302    0.034    0.138    0.243    0.000    1.334
    2.000    0.563    0.584    0.585    0.301    3.379   -0.037   -3.041    0.000    0.000   -2.000    0.660   -3.364   10.126    0.012   -0.548   -0.000    0.012    0.563    0.012    0.256    0.453    0.000    1.280
    3.000    0.780    0.584    0.586    0.422    5.073   -0.084   -4.567    0.002    0.002   -3.000    1.027   -5.004   15.567   -0.069   -0.842    0.000   -0.069    0.780   -0.069    0.354    0.627    0.001    1.224
    4.000    0.960    0.584    0.587    0.524    6.769   -0.149   -6.096    0.003    0.003   -4.000    1.419   -6.617   21.277   -0.215   -1.163   -0.012   -0.215    0.960   -0.215    0.436    0.772    0.002    1.168
    5.000    1.115    0.584    0.587    0.620    8.610   -0.232   -7.757    0.000    0.000   -5.000    1.834   -8.333   27.782   -0.391   -1.490    0.012   -0.391    1.115   -0.391    0.506    0.897    0.000    1.112
    6.000    1.210    0.584    0.588    0.684   10.312   -0.334   -9.294    0.004    0.004   -6.000    2.290   -9.889   34.095   -0.657   -1.844    0.000   -0.657    1.210   -0.657    0.549    0.972    0.003    1.055
    7.000    1.264    0.584    0.588    0.728   12.016   -0.453  -10.835    0.002    0.002   -7.000    2.768  -11.419   40.720   -0.966   -2.203    0.000   -0.966    1.264   -0.966    0.574    1.016    0.001    0.999
    8.000    1.272    0.584    0.588    0.753   13.723   -0.590  -12.380    0.005    0.005   -8.000    3.300  -12.923   47.673   -1.340   -2.579   -0.000   -1.340    1.272   -1.340    0.577    1.022    0.003    0.942
    9.000    1.249    0.584    0.588    0.760   15.432   -0.744  -13.929    0.001    0.001   -9.000    3.877  -14.402   54.969   -1.762   -2.973    0.000   -1.762    1.249   -1.762    0.566    1.004    0.000    0.886
   10.000    1.177    0.584    0.588    0.748   17.144   -0.914  -15.482    0.004    0.004  -10.000    4.498  -15.856   62.626   -2.251   -3.387   -0.000   -2.251    1.177   -2.251    0.534    0.946    0.002    0.828
   11.000    1.101    0.584    0.588    0.731   19.004   -1.101  -17.172    0.002    0.002  -11.000    5.177  -17.403   71.348   -2.789   -3.847    0.012   -2.789    1.101   -2.789    0.499    0.885    0.002    0.771
   12.000    0.957    0.584    0.588    0.684   20.722   -1.302  -18.737    0.008    0.008  -12.000    5.937  -18.806   79.814   -3.402   -4.317   -0.000   -3.402    0.957   -3.402    0.434    0.769    0.005    0.714
   13.000    0.782    0.584    0.587    0.618   22.443   -1.518  -20.308    0.004    0.004  -13.000    6.758  -20.186   88.698   -4.053   -4.798    0.000   -4.053    0.782   -4.053    0.355    0.629    0.003    0.658
   14.000    0.570    0.584    0.587    0.535   24.168   -1.747  -21.886    0.002    0.002  -14.000    7.689  -21.542   98.020   -4.762   -5.302    0.000   -4.762    0.570   -4.762    0.259    0.459    0.001    0.602
   15.000    0.353    0.584    0.586    0.449   26.043   -1.987  -23.607    0.007    0.007  -15.000    8.617  -22.985  108.641   -5.544   -5.876   -0.000   -5.544    0.353   -5.544    0.160    0.284    0.004    0.545
   16.000    0.067    0.584    0.586    0.334   27.775   -2.237  -25.204    0.012    0.012  -16.000    9.304  -24.294  118.949   -6.371   -6.434    0.000   -6.371    0.067   -6.371    0.031    0.054    0.007    0.489
   17.000   -0.208    0.584    0.585    0.202   29.512   -2.497  -26.813    0.005    0.005  -17.000    9.998  -25.581  129.766   -7.275   -7.082   -0.059   -7.275   -0.208   -7.275   -0.095   -0.167    0.003    0.434
   18.000   -0.543    0.584    0.584    0.068   31.402   -2.762  -28.573    0.009    0.009  -18.000   10.741  -26.950  142.089   -8.186   -7.686   -0.000   -8.186   -0.543   -8.186   -0.247   -0.437    0.005    0.378
   19.000   -0.908    0.584    0.583   -0.082   33.299   -3.031  -30.350    0.000    0.000  -19.000   11.456  -28.295  155.073   -9.119   -8.287    0.096   -9.119   -0.908   -9.119   -0.414   -0.731    0.000    0.324
   20.000   -1.269    0.584    0.582   -0.258   35.054   -3.299  -32.013    0.013    0.013  -20.000   12.215  -29.514  167.675  -10.224   -9.070    0.000  -10.224   -1.269  -10.224   -0.580   -1.023    0.007    0.270
   18.419   -0.698    0.584    0.584    0.001   32.130   -2.874  -29.254    0.012    0.012  -18.419   11.013  -27.470  147.003   -8.594   -7.951   -0.000   -8.594   -0.698   -8.594   -0.319   -0.563    0.007    0.355
